BOOK,PAGE,WEB,NPC or PC?,SPECIES,Str,Dex,Con,Int,Wis,Cha,Size,Spd,Vis,Ref,Fort,Will,CONDITIONAL FEAT,SKILLS,TRAITS,SPECIES,PERSONALITY,JEDI, NOBLE, SCOUNDREL,SCOUT, SOLDIER,Basic?,Language 1,Language 2,Language 3,Height,Weight,Child, Young Adult,Adult, Middle Age,Old, Venerable, C/UC Mini?, Unique mini?,  C/UC w/lightsaber,  Unique w/lightsaber,"Refers to SWM & minis w/lightsabers also counted in previous column's tally, counts multiple sculpts as singles                                                                           *numerous examples"
UR,18,X,N,Near-Human Visually striking,,,,,,,M,6,,,,,+1 at first level*,+1 at first level*,"Cha bonus doubled w/Persuasion on Human, near-Humans & similar",Near-Human Visually striking,,,,,,,Y*,Basic,,,,,,,,,,,,1,,,
UR,18,X,N,Near-Human Weapon familiarity,,,,,,,M,6,,,,,+1 at first level*,+1 at first level*,treat exotic as simple if commonly used by culture,Near-Human Weapon familiarity,,,,,,,Y*,Basic,,,,,,,,,,,,1,,,
CR,285,w,N,Neimodian,-2,,,2,2,,M,6,,,,,SF Deception,"reroll Deception, mtr",,Neimodian,"controlling, capitalist, pursuit of wealth and power",,,,,,Y,Basic,Neimoidian,Pak Pak,,,,,,,,,1,,,,
GI,17,w,P,Neimoidian,-2,,,,,2,M,6,,,,,"SF Deception, SF Persuasion",,,Neimoidian,"greedy, cowardly, devious",,4,4,,,Y,Basic,Neimoidian,,1.9,70,11,16,40,57,79,80+,,,,,
C,16,w,P,Nelvaanian,,,,-2,2,,M,6,L,,,,,,"Primitive, Scent, if begin turn in concealment & target unaware avoid attacks of opportunity",Nelvaanian,"value family & kinship, superstitious but honorable",,,,4,4,N,Nelvaanese,,,2/1.5,130/50,7,20,30,45,64,65+,,,,,
UR,13,w,P,Nikto,2,,,-2,,-2,M,6,,2,2,,,"reroll Survival, mtr",*or Huttese,Nikto,single-minded tenacious followers,,2,2,2,4,Y*,Nikto,Huttese or Basic,,1.8,60,10,15,35,54,64,65+,1,,1,,
W,164,w,N,Noghri,,2,,,,-4,S,6,,,,,Martial Arts I,"reroll Initiative, mtr","Primitive, Scent",Noghri,"fearsome, dedicated, hand-to-hand combatants",,,,,,N,Honoghran,,,,,,,,,,,,,,,
F,185,w,N,Noghri,,2,,,2,-4,S,4,,,,,Running Attack with Dex 13,,"Primitive, Scent",Noghri,"fearsome, dedicated, hand-to-hand combatants",,,,,,N,Honoghran,,,,,,,,,,,,,,,
F,15,w,P,Nosaurian,,2,,,,-2,M,6,,,,,,"Climb as class skill, reroll Survival, mtr","Natural Weapon (horns), 1d6 piercing",Nosaurian,"gregarious, even-tempered, but embittered and angry",,3,4,3,4,Y,Basic,Nosaurian,,1.4,75,10,15,45,79,99,100+,,,,,
GI,144,w,N,Nyriaanan,,,,,2,-2,M,6,L,,,,Bonus Feat like humans at 1st level,Survival is class skill,,Nyriaanan,"distrustful of outsiders, despise corporations",,,,,,N,Nyriaanan,,,,,,,,,,,,,,,
GI,131,w,N,Pa'lowick,-2,,,,2,,M,6,,,,,,can reroll & take 10 on Swim,"Primitive, Hold Breath",Pa'lowick,"traditional, primitive, but sociable, appreciate technology",,,,,,N,Lowickese,,,,,,,,,,,,,,,
W,230,w,P,Pau'an,-2,,,,2,2,M,6,L,,,,SF Persuasion,,add +1 to insight or morale bonuses,Pau'an,"friendly, kind to strangers, administrative",4,4,,,,Y,Basic,Utapese,,1.9,70,16,30,400,500,699,700+,,,,,
W,158,w,N,Phindian,,,,2,,-2,M,6,,,,,"SF Mechanics, Skill training (Knowledge [technology])",,,Phindian,"aloof, contrary, sarcastic, exaggerate",,,,,,Y,Phindian,Basic,,,,,,,,,,,,,,
W,249,w,N,Polis Massan,-2,,,,2,,S,6,D,,,,SF Treat Injury,,"Mute, Limited Telepathy within 10 sq",Polis Massan,"gentle, compassionate, inquisitive",0,4,0,4,1,Y,Basic (Understand),Massan,,,,,,,,,,,,,,
CR,29,w,P,Quarren,,,2,,-2,-2,M,6/4,L,,,,SF Persuasion,"reroll Swim mtr, can take 10",breathe underwater,Quarren,"practical, conservative, shadowy, resentful",,4,4,,,Y,Basic,Quarrenese,,1.8,72,11,16,40,57,79,80+,12,3,,,
K,17,w,P,Rakata,,,,2,-2,,M,6,,,,,Weapon Focus with simple or exotic,,"use a trained-only aspect of Mechanics, Pilot, Treat Injury or Use Computer, Force Blind, Primitive, Rage",Rakata,"primitive, driven",,,,3,,N,Rakata,,,2,85,11,16,50,69,79,80+,1,,,,
T,153,w,N,Replica Droid,2,2,,,,-2,,,,,,,SF Deception,,"Variable size, droid traits, bonus equipment (see p.153)",Replica Droid,,,2,4,4,4,Y,Basic,native language of copied species,,,,,,,,,,1,8,,7,
CR,29,w,P,Rodian,,2,,,-2,-2,M,6,L,,,,SF Survival,"reroll Perception, mtr",,Rodian,"violent, hunters, tenacious, dedicated",,,,4,4,Y,Basic,Rodese,,1.6,60,12,15,35,49,59,60+,,1,,,
SV,10,w,P,Ryn,,,,,,2,M,6,,,,,,,"can reroll Deception & take better, swif to create diversion to hide 10sq, prehensile tail, Gather Info without fee (can pay if fail)",Ryn,"fun-loving, flamboyant, free-spirited, nomadic",2*,,,4,,Y,Basic,Ryn,,1.6/1.4,60/50,10,20,40,60,80,81+,,,,,
L,204,w,N,Sakiyan,,,,,,,M,6,D,2,,,SF Perception,,,Sakiyan,acute senses evolved from a need to survive the fierce predators of their homeworld,,,,,,Y,Sakiyan,Basic,,,,,,,,,,,,,,
K,18,w,P,Selkath,,,,,,2,M,6/4,,,,,,take 10 on Swim,"Breathe underwater, when healing others +5 hp, 1/encounter swif grant ally 10+target level hp",Selkath,"pragmatic, diplomatic",2*,4,,4,,N,Selkath,,,1.5,60,10,15,54,84,99,100+,,1,,,
J,79,w,N,Shard,,-2,,,2,,M,,,,,,,Use Computer is bonus trained skill,"Droid Shell but retains Constitution, Binary language",Shard,"deeply contemplative, curious, long-lived",,,,,,Y,Binary,Basic,,,,,,,,,,,,,,
UR,14,w,P,Shistavanen,,2,,-2,,-2,M,6,L,,,,SF Perception,"Survival is a class skill, reroll Initiative, mtr",claw d6,Shistavanen,"isolationist, aggressive, prejudiced",,,4,4,3,N,Shistavanen,,,1.6,60,9,13,40,60,95,96+,1,,,,
W,160,w,N,Skakoan,,-2,,2,,,M,6,,,,,"AP (light), SF Mechanics",,"1/encounter stan Mechanics or Use Computer action as swift action, Special Equipment",Skakoan,"cold, logical, emotionless, pro-separatist, dislike humans",,,,,,Y,Skakoverbal,Basic,,,,,,,,,,,1,,,
UR,14,w,P,Sluissi,,-2,,2,,,M,6,,,,,Tech Specialist w/Mechanics,,"Mechanics +10 if take double time, +5 v. Trip, long jump w/out running start",Sluissi,"tinkerers, patient, sociable",,,4,,,Y,Sluissese,Basic,,1.7,60,8,14,39,59,75,76+,2,,,,
K,19,w,P,Snivvian,,,,,2,,S,4,,,,,,,"1/encounter use Perception for Deception or Persuasion, +5 Fort Def v. cold",Snivvian,"insightful, contemplative",,3,4,3,3,N,Snivvian,,,1.4,55,11,17,49,79,105,106+,1,1,,1,
UR,143,w,N,Sorcerer of Rhand,-2,-2,,4,2,-2,M,6,,,,,"Force-sensitivity, Force Training*","reroll Persuasion to intimidate, keep better","*half of force powers must be ""dark,"" gains 1 to 3 special qualities, +5 Will Def v. Persuasion",Sorcerer of Rhand,seekers of dark side,,,,,,Y,Basic,and many others,,,,,,,,,,,,,,
UR,15,w,P,Squib,-2,2,,,,,S,6,,,,,Squib tensor rifle w/WP (rifle),"Persuasion class skill, reroll Know (tech, mtr)","+5 Persuasion to haggle, not limited to common knowledge w/untrained Know (tech) check",Squib,"cheerful, curious, overconfident, like to bargain",1,2,4,4,,Y,Squibbian,Basic,,1,22,8,12,38,63,64,65+,,,,,
UR,147,w,N,Ssi-Ruuk,2,,,,-2,,M,6,,2,,,SF Persuasion,,"force-blind, smell: w/in 6sq can reroll Persuasion & keep better",Ssi-Ruuk,"religious, cautious, expansionist",,,,,,N,Ssi-ruuvi,,,,,,,,,,,1,,,,
D9,12,w,N,Stereb,4,-2,2,-2,,-2,M,6,D,,2,,SF Mechanics with stone,take 10 on Survival when underground,"primitive, +5 damage threshold",Stereb,"methodical, not aggressive, live in harmony with surfaces of planet",,,,4,,N,,,,,,,,,,,,2,2,,,
CR,30,w,P,Sullustan,,2,-2,,,,M,6,D,,,,,"take 10 on Climb, reroll Perception, mtr",,Sullustan,"pragmatic, friendly, reckless",,,4,3,,Y,Basic,Sullustese,,1.5,55,9,14,39,55,69,70+,,,,,
F,16,w,P,Talz,,,2,-2,,,M,6,D,,,,SF Mechanics,,claws d6,Talz,"primitive, gentle, kind-hearted",1*,,4,,,N,Talz,,,2,90,3,8,25,40,52,53+,,,,,
GW,13,w,P,Taung,,,2,,,-2,M,6,,1,1,1,,"reroll Knowledge (tactics), mtr",Max Dex bonus of armor +1,Taung,"warlike, ruthless, but loyal to clan",0,,,4,4,Y,Basic,Mando'a,,2,95,6,12,45,64,84,85+,,,,,
J,109,w,N,Tchuukthai (best guess),,,,,,,L,6,,,,,,,"+5 v. trip or being knocked prone, bite 1d8",Tchuukthai (best guess),"generally thoughtful, put on displays of ferocity for outsiders but disdained fighting",,,,,,Y,Tchuukthese,Basic,,,,,,,,,,,,,,
GW,14,w,P,Thakwaash,4,-2,,,,-2,M,6,,1,,,,,1/encounter as free action remove any mind-affecting effects,Thakwaash,multiple-personalities,0,3,3,3,3,N,Thakwaashi,,,2.8,130,9,14,49,74,89,90+,,,,,
UR,149,w,N,Tof,2,-2,,,-2,2,L,6,,,,,"Rapid Shot or Rapid Strike, Mighty Swing if have Martial Arts I & Str 13",,"1/enc ignore one fear-related or mind-affecting effect, +5 Will Def v. intimidate",Tof,"cruel, single-minded pursuit of pleasure, boastful, competitive, warlike",,,,,,N,Tof,,,,,,,,,,,,,,,
F,17,w,P,Togorian,4,,,-2,-2,,L,6,L,1,,,,,use Str not Cha to intimidate,Togorian,"predatory, aggressive nomads",2*,,4,,4,Y,Basic,Togorian,,2.5,170,9,14,44,64,79,80+,,,,,
F,17,w,P,Togruta,,2,-2,,,,M,6,,,,,,"reroll Stealth, mtr","flank = +2 dam, ignore cover and concealment within 10sq",Togruta,"social, perceptive, outspoken",3,4,3,4,4,Y,Basic,Togruti,,1.7,75,11,17,54,74,94,95+,,,,,
SV,11,w,P,Toydarian,-2,,,,2,,S,4/6,,,,,SF Deception,,Will Def +5 v. mind-affecting Use the Force checks,Toydarian,"proud, loyal, deceitful",,2,4,4,,N,Toydarian,Huttese,,1.2,50/45,6,14,60,75,90,91+,,,,,
CR,31,w,P,Trandoshan,2,-2,,,,,M,6,D,1,,,Toughness,,limb regeneration,Trandoshan,"violent, warlike, hunters, driven, but can show mercy",,,,4,4,Y,Basic,Dosh,,2,80,11,14,34,49,59,60+,,,,,
GW,15,w,P,Trianii,,,,,2,,M,6,,,,,,"reroll Acrobatics, mtr","claws d6, prehensile tail can hold Small or smaller item & if item is Medium Trianii is encumbered & heavy load",Trianii,"adventurous, explorers, independent, spiritual",,,,4,,N,Trianii,,,2,95,11,17,44,64,84,85+,,,,,
W,164,w,N,Tusken Raider,,2,,-2,-2,,M,6,,,,,,reroll Stealth and Survival,,Tusken Raider,"nomadic, primitive, hostile",,,,,,N,Tusken,,,,,,,,,,,,,,,
CR,31,w,P,Twi'lek,,,,,-2,2,M,6,L,,2,,,"reroll Deception, mtr",,Twi'lek,"calculating, charismatic, shadowy, influential",,4,4,,,Y,Basic,Ryl,Lekku,1.8/1.6,55,12,15,44,59,79,80+,,,,,
SV,12,w,P,Ubese,,2,-2,,,,M,6,,,,,SF Perception,"reroll Survival, mtr","charge atk +2, special equipment",Ubese,"aggressive, warlike, resentful, hate jedi",0,,,4,4,Y,Ubese,Ubeninal,,1.9/1.7,65/55,11,15,40,60,70,71+,,,,,
F,223,w,N,Ugnaught (best guess),,,,,,,S,6,,,,,,,,Ugnaught (best guess),mechanically apt,,,,,,Y,Ugnaught,Basic,,,,,,,,,,,,,,
D4,9,w,N,Ugor (best guess),,,,,,,M,4,,,,,,,as full-round raise or lower an ability by max 5 but transfer from another ability & adjust bonuses & penalties,Ugor (best guess),"scavengers, junk collectors, traders",,,,,,Y,,,,,,,,,,,,,,,,
GI,18,w,P,Umbaran,,2,-2,,2,,M,6,D,,,,SF Gather Info,"reroll Stealth, mtr",,Umbaran,"aloof, observant",3,3,4,4,3,Y,Umbarese,Basic,,1.7,60,10,15,44,69,89,90+,,,,,
C,160,w,N,Umbaran,,,-2,,2,2,M,6,L,,,,SF Persuasion,"reroll Persuasion, mtr",if exposed to bright light blinded 1 round,Umbaran,"aloof, observant",,,,,,Y,Umbarese,Basic,,,,,,,,,,,,,,
T,127,w,N,Utai,,,2,,,-2,S,4,L,,,,,"reroll Ride, mtr","can use Persuasion to change attitude of an undomesticated creature, auto aid another if adjacent & understands",Utai,beast handlers,,,,,,N,Utapese,,,,,,,,,,,,,,,
UR,153,w,N,Vagaari,2,,,,-2,,M,6,,,,,SF Deception,"reroll Knowledge (life) & Treat Injury, mtr","reroll Persuasion to intimidate if in traditional mask & keep better, considered trained",Vagaari,"narcissistic, arrogant, racist, nomadic, cruel, uncaring, evil",,,,,,N,Vagaari,Sy Bisti,,,,,,,,,,,,,,
L,59,w,N,Vahla,,,-2,2,,,M,6,,,,,Force-sensitivity,"reroll Acrobatics, mtr",spend 2 Force Points to lower Dark Side score,Vahla,"nomadic, hateful of jedi",,,,,,Y,Vahla,Basic,,,,,,,,,,,,,,
UR,16,w,P,Verpine,,,,,,,M,6,,1,,,SF Mechanics,"reroll Perception, mtr",communicate w/other Verpine w/in 1km,Verpine,"tech specialists, value equipment, personable, enthusiastic",,,4,4,,Y,Verpine,Basic,,1.9,60,4,9,40,60,80,81+,,,,,
J,107,w,N,Vultan,,,,2,-2,,M,6,,,,,,+1 skill at 1st,gain SF (Knowledge) x1 if trained in 2 or more Knowledge skills,Vultan,loved fashion and technology,,,,,,Y,Dromnyr,Basic,,,,,,,,,,,,,,
C,17,w,P,Vurk,,-2,2,,,2,M,6/4,,,,,,"reroll Swim mtr, can take 10, reroll Survival mtr","Placid (remove fear effect from self), Breathe Underwater ",Vurk,"even-tempered, compassionate, hate lying, duty-bound, stern",,2,1,4,4,Y,Semblan,Basic,,2.1/1.9,90/85,6,14,30,49,69,70+,,,,,
L,15,w,P,Weequay,,,2,-2,,-2,M,6,,1,,,SF Endurance,,pheromone communication within 20 sq,Weequay,"bullying, brooding, superstitious, silent",,,,4,4,N,Sriluurian,,,1.7/1.6,75/65,12,17,49,74,89,90+,,,,,
F,18,w,P,Whiphid,4,,,-2,-2,,L,6,,,,,,,"cold +5 Fort, claws d6, scent",Whiphid,"nomadic tribal hunters, outgoing, greedy, unscrupulous",1*,2,3,4,4,N,Whiphid,,,2.5,55,10,15,84,99,249,250+,,,,,
CR,32,w,P,Wookiee,4,-2,2,,-2,-2,M,6,,,,,WP bowcasters with rifles,"take 10 on Climb, reroll Persuasion to intimidate, mtr ","Rage, recover hp x2",Wookiee,"honorable, rash, loyal, short-tempered",,,,4,,Y,Shyriiwook,Basic (understand only),,2.2/2,125/100,12,17,300,350,399,400+,,,,,
SV,156,w,N,Wroonian,,2,-2,,,,M,6,,,,2,,"reroll Persuasion, mtr",,Wroonian,"desire personal wealth and possessions, carefree, risk-takers",,,,,,Y,Wroonian,Basic,,,,,,,,,,,,,,
F,19,w,P,Yarkora,,-2,,,2,2,M,6,,,,,,"Gather Info as class skill, reroll Deception, mtr","1/encounter as stan Deception v. Will Def v. target's w/in 6 sq to not threaten any squares, mtr",Yarkora,"manipulative, information brokers, thieves, and con artists",1*,4,4,,,Y,Basic,Yarkora,,2,95,10,18,64,94,124,125+,,,,,
GW,16,w,P,Yevetha,2,,,,,-2,M,6,,,,,,,"claws d6, 1/encounter Mechanics check as nat 20, +2 Will Def v. Persuasion from a different species",Yevetha,"xenophobic, proud, violent, fanaticism",,,,4,,N,Yevethan,,,1.9,80,5,11,44,66,80,81+,,,,,
L,16,w,P,Yuuzhan Vong,2,,,,-2,,M,6,,,,,WP amphistaff with Simple,,"Force Immunity, Atk w/mechanical objects -5, can't take WP heavy weapons, pistols or rifles at 1st level",Yuuzhan Vong,religious warriors,0,4,4,4,4,N,Yuuzhan Vong,,,1.9/1.7,70/60,11,17,40,60,75,76+,,,,,
CR,285,w,N,Yuuzhan Vong,2,,,,-2,,M,6,,,,,WP amphistaff with Simple,,"Force Immunity, Atk w/mechanical objects -5, can't take WP heavy weapons, pistols or rifles at 1st level",Yuuzhan Vong,"bloodthirsty, religious, arrogant, racist",,,,,,N,Yuuzhan Vong,,,1.9/1.7,70/60,11,17,40,60,75,76+,,,,,
GW,17,w,P,Yuzzem,4,,,,-2,-2,L,6,,,,,,"reroll Climb, mtr","claws/bite d8, can use Str mod for Persuasion to intimidate, scent ignores concealment for cover in 10sq",Yuzzem,"fair, generous, honorable, temperamental",,,,,4,N,Yuzz,,,2.5,180,8,15,40,59,79,80+,,,,,
CR,32,w,P,Zabrak,,,,,,,M,6,,1,1,1,,"reroll Perception, mtr",,Zabrak,"confident, dedicated, intense, sometimes obsessive and single-minded",4,4,4,4,4,Y,Basic,Zabrak,,1.8,75,8,14,44,55,69,70+,,,,,
L,17,w,P,Zeltron,,,,,-2,2,M,6,,,,,,,"add Cha bonus to Perception checks to sense deception/influence, +5 Persuasion to change attitude",Zeltron,"friendly, sociable, pacifistic, passionate",1,4,4,4,4,Y,Basic,,,1.8/1.65,70/55,11,18,49,64,79,80+,,,,,
W,311,w,P,Zeltron,,,-2,,-2,4,M,6,,,,,SF Persuasion,"reroll Initiative, mtr",Perception vs Will to discover target's attitude towards you and target's general emotional state,Zeltron,"friendly, sociable, pacifistic, passionate",,,,,,Y,Basic,,,1.8/1.65,70/55,11,18,49,64,79,80+,,,,,
GW,17,w,P,Zygerrian,,,2,,-2,,M,6,,,,2,Martial Arts I,,can use Cha mod to calculate Will Def,Zygerrian,"slavers, pirates, violent, aggressive",,,,4,4,Y,Basic,,,1.7,60,9,16,39,60,80,81+,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Abyssin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Chevin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Dresellian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Farghul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Kubaz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,Lannik
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Mustafarian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,Muun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,T'surr