BOOK,PAGE,WEB,ITEM,Desc.,ACP,Cost,"Ref bonus","Fort bonus","Max Dex","Spd 6sq","Spd 4sq",Weight,Avail., U. Slots,Helmet P.,COMMENTS,Skill,Skillbonus,Ability,Abilitybonus,Used By
CR,282,w,ARC Trooper armor,,-2,8000,6,2,3,,,10,"Military, Rare",,x,,,,,,Advanced Recon Commandos (Clone Trooper)
CR,132,w,Armored spacesuit,"Armored Spacesuit
Heavy Armor

This bulky coverall contains a sealed life support system that provides everything the wearer needs to survive for 24 hours in the vacuum of space or any other hostile environment.
",-10,12000,9,3,1,4/x3,3/x3,35,Restricted,,,survive 24 hours,,,,,
D7,25,w,AT-AT pilot suit,,-2,,5,2,3,,,,"Military, Rare",,,10 hours life support likely,,,,,Radtrooper
GW,44,w,Barabel microbe armor,"Barabel Microbe Armor (GaW)
Light Armor

Created by Creshaldyne Industries, this armor is a sleeveless vest of soft material. Pouches within the armor hold a saline solution containing specialized microorganisms, which absorb intense heat or radiation.

Barabel microbe armor provides DR 2 against energy and fire damage. If you are using the Armor Upgrades option from Scum and Villainy, Barabel microbe armor has room for two upgrades.
",-2,4000,2,0,3,,,6,Licensed,2,,DR 2 v. energy & fire dam,,,,,
CR,132,w,Battle armor,"Battle Armor
Medium Armor

Battle armor combines protective metal or composite plates with a padded jumpsuit to form a layer of protection. While off-the-rack battle armor is available, most users cobble together their gear from various sources.
",-5,7000,8,2,2,4,3,16,Military,,,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
CR,132,w,"Battle armor, heavy","Battle Armor, Heavy
Heavy Armor

Similar to regular battle armor, heavy battle armor features more plating than padding, including various pieces molded to fit the user, such as breastplates and armor covering the arms and legs.
",-10,15000,10,4,1,4/x3,3/x3,30,Military,,,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
K,71,w,"Battle armor, heavy powered","Battle Armor, Heavy Powered (KotORCG)
Heavy Armor

Utilized by warriors who define their fighting style by the gear they carry, heavy powered battle armor resembles standard heavy battle armor but comes prewired for augmentation. Heavy powered battle armor comes with a helmet package preinstalled. If you are using the equipment modification rules from Scum and Villainy, heavy powered battle armor has 2 free upgrade slots (as does all powered armor).
",-10,19000,9,4,1,4/x3,3/x3,32,Military,2,x,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
K,70,w,"Battle armor, light","Battle Armor, Light (KotORCG)
Light Armor

Similar to denser suits of battle armor, this stripped-down battle armor is frequently used by soldiers who lack extensive armor training but need a slight edge in combat.
",-2,3500,5,2,3,,,10,Military,,,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
K,70,w,"Battle armor, light powered","Battle Armor, Light Powered (KotORCG)
Light Armor

Designed to be augmented with additional components and weapons, light powered body armor comes prewired with special connections to power auxiliary accessories. Light powered battle armor comes with a helmet package preinstalled. If you are using the equipment modification rules from Scum and Villainy, light powered armor has 2 free upgrade slots (as does all powered armor).
",-2,6500,4,2,3,,,12,Military,2,,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
K,71,w,"Battle armor, powered","Battle armor, Powered (KotORCG)
Medium Armor

The powered armor variant of standard battle armor, powered battle armor is frequently used by those warriors who see their armor as an extension of their combat prowess and not just their defenses. Powered battle armor comes with a helmet package preinstalled. If you are using the equipment modification rules from Scum and Villainy, powered battle armor has 2 free upgrade slots (as does all powered armor).
",-5,11000,7,2,2,4,3,17,Military,2,x,,,,,,warriors
SV,48,w,"Beskar'gam, heavy","Beskar'gam (SaV)
Light, Medium, or Heavy Armor

The beskar'gam is the traditional suit of Mandalorian Armor. Unlike the armor of the Neo-Crusaders (see page 201 of the Knights of the Old Republic Cam­paign Guide), most suits of beskar'gam are individually tailored to the wearer. They usually have various customizations, ranging from simple coloration changes to significant structural alterations. The beskar'gam is extremely rare outside of Mandalorian culture and costs 30,000 more than a traditional suit of Mandalorian armor. True beskar'gam is made of Mandalorian iron (beskar), which is strong enough to deflect blaster fire and even lightsabers, and when worn by a true Mandalorian warrior it can greatly reduce the amount of damage taken even from direct hits. Not all suits of Mandalorian armor are beskar'gam (for example, the armor worn by Neo-Crusaders during the Mandalorian Wars was not made of beskar), but a wearer of the beskar'gam is a fearsome sight indeed. A suit of beskar'gam grants favorable circum­stances on Persuasion checks to intimidate, and if the wearer has DR then the wearer can apply its benefit against attacks made by lightsabers. Though not powered armor, the armor has two free upgrade slots.

Gamemasters can reduce the cost of beskar'gam by 30,000 credits for Mandalorian heroes.
",-10,45000,10,4,1,4/x3,3/x3,32,"Restricted, Rare",2,,"favorable circumstances to intimidate, DR v. lightsabers",,,,,Mandalorians
SV,48,w,"Beskar'gam, light","Beskar'gam (SaV)
Light, Medium, or Heavy Armor

The beskar'gam is the traditional suit of Mandalorian Armor. Unlike the armor of the Neo-Crusaders (see page 201 of the Knights of the Old Republic Cam­paign Guide), most suits of beskar'gam are individually tailored to the wearer. They usually have various customizations, ranging from simple coloration changes to significant structural alterations. The beskar'gam is extremely rare outside of Mandalorian culture and costs 30,000 more than a traditional suit of Mandalorian armor. True beskar'gam is made of Mandalorian iron (beskar), which is strong enough to deflect blaster fire and even lightsabers, and when worn by a true Mandalorian warrior it can greatly reduce the amount of damage taken even from direct hits. Not all suits of Mandalorian armor are beskar'gam (for example, the armor worn by Neo-Crusaders during the Mandalorian Wars was not made of beskar), but a wearer of the beskar'gam is a fearsome sight indeed. A suit of beskar'gam grants favorable circum­stances on Persuasion checks to intimidate, and if the wearer has DR then the wearer can apply its benefit against attacks made by lightsabers. Though not powered armor, the armor has two free upgrade slots.

Gamemasters can reduce the cost of beskar'gam by 30,000 credits for Mandalorian heroes.
",-2,33500,5,2,3,,,10,"Licensed, Rare",2,,"favorable circumstances to intimidate, DR v. lightsabers",,,,,Mandalorians
SV,48,w,"Beskar'gam, medium","Beskar'gam (SaV)
Light, Medium, or Heavy Armor

The beskar'gam is the traditional suit of Mandalorian Armor. Unlike the armor of the Neo-Crusaders (see page 201 of the Knights of the Old Republic Cam­paign Guide), most suits of beskar'gam are individually tailored to the wearer. They usually have various customizations, ranging from simple coloration changes to significant structural alterations. The beskar'gam is extremely rare outside of Mandalorian culture and costs 30,000 more than a traditional suit of Mandalorian armor. True beskar'gam is made of Mandalorian iron (beskar), which is strong enough to deflect blaster fire and even lightsabers, and when worn by a true Mandalorian warrior it can greatly reduce the amount of damage taken even from direct hits. Not all suits of Mandalorian armor are beskar'gam (for example, the armor worn by Neo-Crusaders during the Mandalorian Wars was not made of beskar), but a wearer of the beskar'gam is a fearsome sight indeed. A suit of beskar'gam grants favorable circum­stances on Persuasion checks to intimidate, and if the wearer has DR then the wearer can apply its benefit against attacks made by lightsabers. Though not powered armor, the armor has two free upgrade slots.

Gamemasters can reduce the cost of beskar'gam by 30,000 credits for Mandalorian heroes.
",-5,37000,8,2,2,4,3,17,"Restricted, Rare",2,,"favorable circumstances to intimidate, DR v. lightsabers",,,,,Mandalorians
GW,44,w,Biohazard suit,"Biohazard Suit (GaW)
Medium Armor

The biohazard suit is a common piece of equipment that protects the wearer from hazardous biological matter. The standard biohazard suit is bright yellow and features a domed, transparent helmet to allow for normal vision. A bio­hazard suit provides immunity to all atmospheric or inhaled poison hazards, as well as to any diseases spread by inhalation or contact. A biohazard suit provides 1 hour of breathable atmosphere before the filter and atmosphere canister must be replaced.
",-5,4000,0,3,,4,3,9,Licensed,,,"immunity to all atmospheric or inhaled poisons and diseases, 1 hour breathable atmosphere",,,,,
CR,132,w,Blast helmet and vest,"Blast Helmet and Vest
Light Armor

This armor consists of a lightweight helmet and a composite vest that, when worn together, offer limited protection against incoming attacks.
",-2,500,2,0,5,,,3,,,,,,,,,"Imperial troopers, Rebel troopers"
K,179,w,Blast jacket (Atton Rand's),,-2,,2,1,4,,,,Unique,,,similar version worn by Mira (K 214),,,,,Atton Rand
L,98,w,Boba Fett's Mandalorian Armor,"Boba Fett's Mandalorian Armor (LECG)
Medium Armor, Heirloom Item

The famous bounty hunter Boba Fett wore a special suit of patchwork Mandalorian armor for decades. The Mandalorian armor is outfitted with dozens of special modifications, making it the ideal suit of armor for any bounty hunter or mercenary.

Upon his death, Boba Fett's armor would have been split up into separate pieces to be worn by other members of his clan to honor him, as per the Mandalorian tradition. Reassembling Boba Fett's armor might be the subject of a personal quest undertaken by a hero in a legacy era campaign, or the reassembled suit could be worn by an enemy wishing to capitalize on the armor's legendary status.

Boba Fett's Mandalorian Armor: Medium Mandalorian battle armor with an extra modification (+9 armor bonus to Reflex Defense, +2 equipment bonus to Fortitude Defense).
",-5,,9,2,2,4,3,18,Rare,6,x,"10 hours life support, jet pack, and extra modification",,,,,Boba Fett or Fett clan
D3,24,X,Bodyguard armor,"Flight Suit, Armored
Light Armor

A combat-ready flight suit that provides additional protection against vacuum for limited periods, this armor comes in various models, including the Corellian TX-3 (favored by various pirate gangs) and the Imperial TIE flight suit (worn by TIE fighter pilots throughout the Empire). An armored flight suit provides up to 10 hours of life support, allowing its wearer to survive in the vacuum of space or any other hostile environment.
",-2,4000,5,2,3,,,10,Licensed,,,10 hours life support,,,,,Bodyguard 
C,64,w,Camo armor,"Camo Armor (CWCG)
Medium Armor

Camo armor protects the wearer from discovery as well as injury. In addition to of the usual hard metal plates woven on top of a fabric body suit, the armor is also embedded with miniature photoreactive fibers that allow the suit to absorb light and change its color to match the wearer's surroundings. When attempting to hide, the wearer gains a +10 equipment bonus to Stealth checks, regardless of the terrain.
",-5,6000,5,0,3,4,3,6,Restricted,,,Stealth +10,Stealth,10,,,scouts?
GW,44,w,Camo scout armor,"Camo Scout Armor (GaW)
Medium Armor

Creshaldyne Industries camo scout armor is worn by scouts, commandos, and other stealthy troops. It combines sound-dampening technology with the light-bending and light-absorption technology used in the camouflage poncho (see page 46). Camo scout armor provides a +5 equipment bonus on all Stealth checks made by the wearer.

If you are using the Armor Upgrades option from Scum and Villainy, camo scout armor has the Shadowskin upgrade and room for one additional upgrade.
",-5,6000,6,2,3,4,3,13,Licensed,1,,"+5 Stealth, Shadowskin upgrade included",Stealth,5,,,"scouts, commandos, and other stealthy troops"
CR,132,w,Ceremonial armor,"Ceremonial Armor
Medium Armor

Ceremonial armor blends practicality with ornate design. Republic Guards and Imperial Royal Guards wear different styles of ceremonial armor. A typical suit of ceremonial armor consists of a helmet, durable breast guard, shoulder guards, and articulated greaves for the arms and legs.
",-5,5000,7,0,2,4,3,13,Restricted,,,,,,,,Republic Guards and Imperial Royal Guards
C,153,w,Clone scout trooper armor,,-2,5500,4,0,4,,,9,"Military, Rare",,x,,,,,,Clone scout troopers
C,154,X,Clone spacetrooper armor,,-10,,7,2,1,4,3,,"Military, Rare",,x,Str +2,,,,,Galactic Marines
CR,281,w,Clone Trooper armor,,-2,8000,6,2,3,,,10,"Military, Rare",,x,,,,,,Clone Trooper
C,149,X,"Clone Trooper armor, fire-resistant",,-10,,9,3,0,4/x3,3/x3,,"Military, Rare",,x,provides DR 5 against fire damage,,,,,Clone Trooper
CR,133,w,Combat jumpsuit,"Combat Jumpsuit
Light Armor

This heavily padded jumpsuit is designed to provide limited protection against physical and energy trauma without overly restricting the wearer's movement.
",-2,1500,4,0,4,,,8,Licensed,,,,,,,,"police, soldiers, scouts"
T,22,X,Commando armor,,-2,4000,5,2,3,,,10,Licensed,,,10 hours life support,,,,,
CR,133,w,Corellian powersuit,"Corellian Powersuit
Medium Armor

This suit of body armor contains an energized exoskeleton and a series of servomotors that boosts the wearer's physical strength. Used by professional soldiers, mercenaries, and bounty hunters, the powersuit requires skill and training to use effectively.

The Corellian powersuit grants its wearer a +2 equipment bonus to Strength, but only if the wearer has the Armor Proficiency (medium) feat.
",-5,10000,7,0,3,4,3,20,Restricted,,,Str +2 with AP medium,,,STR,2,"professional soldiers, mercenaries, and bounty hunters"
L,183,w,Cortosis Gauntlet,"Cortosis Gauntlet (LECG)
Medium Armor (see below)

This gauntlet, made with cortosis weave, protects its wearer from lightsaber attacks. If the wearer readies an action to block a lightsaber attack, the wearer can make an opposed unarmed melee attack roll against the attack roll of the lightsaber attack. If the wearer of the cortosis gauntlet is successful, the lightsaber deactivates and may not be reactivated for 2 minutes (20 rounds). The attack still deals normal damage before the lightsaber is deactivated.

If the wearer of a cortosis gauntlet is the target of the Severing Strike talent, the attacker can choose to sever the limb on which the cortosis gauntlet is worn without having his or her lightsaber deactivated.

The wearer of a cortosis gauntlet must have the Armor Proficiency (medium) feat or take the normal penalties for wearing armor in which he or she is not proficient.
",-5,1500,,,,4,3,1,Rare,,,can make unopposed unarmed atk v. lightsaber to deactivate for 20 rounds,,,,,Imperial Knight
F,178,w,Coruscant Guard armor,,-2,8000,6,2,3,,,10,"Military, Rare",,x,,,,,,Coruscant Guard
J,61,w,"Dark armor, heavy","Dark Armor (JATM)
Light, Medium, and Heavy Armor

Dark armor is the generic name given to various suits of armor possessed and worn by the Sith. Each suit of dark armor is unique, having been created for and often modified by an individual Sith Lord. These suits of armor may look like they originated as other stock models, but they are modified through various processes, including Sith alchemy.

Dark armor is not just another piece of protective gear; to many Sith Lords, the armor is nearly as important as their lightsabers. A suit of dark armor defines a Sith Lord's appearance, and is frequently made to be as frightening as possible.

A suit of dark armor automatically comes with a single enhancement from the Sith Alchemy Specialist talent, as defined on page 22.
",-10,25000,8,5,1,4/x3,3/x3,30,Rare,,,automatically comes with a single enhancement from the Sith Alchemist talent (J22),,,,,Sith
J,61,w,"Dark armor, light","Dark Armor (JATM)
Light, Medium, and Heavy Armor

Dark armor is the generic name given to various suits of armor possessed and worn by the Sith. Each suit of dark armor is unique, having been created for and often modified by an individual Sith Lord. These suits of armor may look like they originated as other stock models, but they are modified through various processes, including Sith alchemy.

Dark armor is not just another piece of protective gear; to many Sith Lords, the armor is nearly as important as their lightsabers. A suit of dark armor defines a Sith Lord's appearance, and is frequently made to be as frightening as possible.

A suit of dark armor automatically comes with a single enhancement from the Sith Alchemy Specialist talent, as defined on page 22.
",-2,10000,4,3,3,,,10,Rare,,,automatically comes with a single enhancement from the Sith Alchemist talent (J22),,,,,Sith
J,61,w,"Dark armor, medium","Dark Armor (JATM)
Light, Medium, and Heavy Armor

Dark armor is the generic name given to various suits of armor possessed and worn by the Sith. Each suit of dark armor is unique, having been created for and often modified by an individual Sith Lord. These suits of armor may look like they originated as other stock models, but they are modified through various processes, including Sith alchemy.

Dark armor is not just another piece of protective gear; to many Sith Lords, the armor is nearly as important as their lightsabers. A suit of dark armor defines a Sith Lord's appearance, and is frequently made to be as frightening as possible.

A suit of dark armor automatically comes with a single enhancement from the Sith Alchemy Specialist talent, as defined on page 22.
",-5,15000,7,4,2,4,3,16,Rare,,,automatically comes with a single enhancement from the Sith Alchemist talent (J22),,,,,Sith
K,157,w,Darth Bandon's fiber armor,,-2,,5,2,2,,,,Unique,,,,,,,,Darth Bandon
K,156,w,Darth Malak's armor,,-2,,6,2,2,,,,Unique,,,,,,,,Darth Malak
W,327,X,Darth Revan's armor,,-5,,7,2,0,4,3,5,Unique,,,,,,,,Darth Revan
CR,262,w,Darth Vader's custom armor,,-2,10000,8,2,3,,,11,Unique,,x,10 hours life support,,,,,Darth Vader
SGD,54,w,"Droid, Crystadurium Plating","Crystadurium Plating (SGtD): Early in the Clone Wars, Techno Union harvesters on Mustafar discover previously unidentified crystals in the planet's lava f lows. Originally discarded as worthless impurities, the crystals attract the attention of representatives of the Techno Union because of their ability to survive the extreme heat. The research and development team discovers that the crystals, dubbed crystadurium, not only withstand heat and high pressure, but they also resist blaster fire. Working with a design team from Baktoid Combat Automata, they create blaster-resistant armor plating by mixing crystal shards into the durasteel alloy used for the battle droids' armor. The war ends before the armor plating is implemented, and the plans are lost when the Techno Union is absorbed by the Empire. Years later the plans are rediscovered by an Imperial librarian, who sells the plans to several arms manufacturers. Although the armor created from these plans is inferior to the original prototypes, it is remarkably effective at stopping blaster fire. Crystadurium armor is heavier and more expensive than standard heavy armor, but it is sought by military organizations throughout the galaxy because of its ability to reduce damage from blaster attacks by 1 point per die of damage.

",-10,50000x,10,0,2,6/x3,4/x3,30x,"Military, Rare",,,x Cost Factor; reduce damage from blaster attacks by 1 point per die of damage,,,,,
CR,193,w,"Droid, Duranium battle armor",,-10,10000x,10,0,2,6/x3,4/x3,10x,Military,,,x Cost Factor,,,,,
CR,193,w,"Droid, Duranium plating",,-5,6400x,8,0,2,,,16x,Restricted,,,x Cost Factor,,,,,
CR,193,w,"Droid, Durasteel battle armor",,-5,9600x,8,0,3,,,8x,Restricted,,,x Cost Factor,,,,,
CR,193,w,"Droid, Durasteel plating",,-2,3600x,6,0,3,,,12x,Licensed,,,x Cost Factor,,,,,
CR,193,w,"Droid, Durasteel shell",,-2,1600x,4,0,4,,,8x,,,,x Cost Factor,,,,,
SGD,54,w,"Droid, Duravlex Shell","Duravlex Shell (SGtD): When the droid manufacturing company Roche designed its smelting droid, one of the largest hurdles was enabling the unit to resist the high temperatures that it must endure while working inside blast furnaces. After many failed attempts, Roche's research team finally perfects a formula that combines high-grade durasteel and kevlex. Dubbed duravlex, the off-white alloy is as strong as durasteel and is highly resistant to heat. Duravlex becomes the droid's biggest selling point, and Roche profits greatly from selling a modified version of the formula to other companies. A droid equipped with a duravlex shell gains a + 10 equipment bonus to its Fortitude Defense to resist fire and extreme heat.

",-2,1000x,4,0,3,,,10x,Licensed,,,x Cost Factor; +10 equipment to Fort to resist fire and extreme heat,,,,,
SGD,54,w,"Droid, Laminanium Plating","Laminanium Plating (SGtD): Made from an exclusive laminanium alloy developed by Tendrando Arms, laminanium plating is primarily for use on its YVH-Series droids. The unique properties of the self-repairing Qellan metal enable it to spontaneously melt and reform to seal damaged areas, even at standard room temperature. The armor is more durable than other types of droid armor, and it is less vulnerable to corrosive acids and similar environmental hazard s. Laminanium's strict production standards and material costs limit its use, although it occasionally appears on other Tendrando Arms products. A droid equipped with laminanium plating gains a +2 equipment bonus to Fortitude Defense.

",-2,3000x,4,2,3,,,15x,Military,,,x Cost Factor,,,,,
SGD,54,w,"Droid, Laminanium Plating","Laminanium Plating (SGtD): Made from an exclusive laminanium alloy developed by Tendrando Arms, laminanium plating is primarily for use on its YVH-Series droids. The unique properties of the self-repairing Qellan metal enable it to spontaneously melt and reform to seal damaged areas, even at standard room temperature. The armor is more durable than other types of droid armor, and it is less vulnerable to corrosive acids and similar environmental hazard s. Laminanium's strict production standards and material costs limit its use, although it occasionally appears on other Tendrando Arms products. A droid equipped with laminanium plating gains a +2 equipment bonus to Fortitude Defense.

",-10,20000x,12,2,2,6/x3,4/x3,15x,"Military, Rare",,,x Cost Factor,,,,,
CR,193,w,"Droid, Mandalorian steel shell",,-10,8100x,9,0,3,6/x3,4/x3,9x,Military Rare,,,x Cost Factor,,,,,
CR,193,w,"Droid, Neutronium plating",,-10,12100x,11,0,1,6/x3,4/x3,20x,Military,,,x Cost Factor,,,,,
CR,193,w,"Droid, Plasteel shell",,-2,400x,2,0,5,,,2x,,,,x Cost Factor,,,,,
CR,193,w,"Droid, Quadanium battle armor",,-5,4900x,7,0,3,,,7x,Restricted,,,x Cost Factor,,,,,
CR,193,w,"Droid, Quadanium plating",,-2,2500x,5,0,3,,,10x,Licensed,,,x Cost Factor,,,,,
CR,193,w,"Droid, Quadanium shell",,-2,900x,3,0,4,,,3x,,,,x Cost Factor,,,,,
K,71,w,"Energy shields, heavy SR 25","Energy Shields (KotORCG)
Light, Medium, and Heavy Armor

Rising to prominence in the days after the Great Sith War, personal energy shields project a thin layer of shielding over an individual character or creature. The popularity of energy shields sparks a revolution in combat tactics, including a surge in the popularity of melee weapons and non-energy projectile weapons. Just as the spread of energy shields is a response to the prominence of energy weapons, they in turn cause warriors to adjust their tactics to deal with personal energy shields.

Energy shields give a character a Shield Rating, which functions exactly as vehicle and starship shields. An energy-shield generator is typically worn on the forearm or upper arm and must be activated as a swift action. Energy shields typically have 5 charges, and energy shields can only be activated once per encounter (the stress on the shield generator causes the device to overload otherwise, so the manufacturers build in fail-safes to prevent such an occurrence). Each activation consumes one charge and lasts through the end of the encounter. An energy shield only protects against weapons that deal energy damage; a weapon that deals any other type of damage bypasses the shield's SR entirely.

Energy shields come in three varieties: light, medium, and heavy. Each energy shield type corresponds to an armor type. A character with an active personal shield without the relevant Armor Proficiency feat takes a -5 penalty to Reflex Defense, and the wearer is denied its Dexterity bonus to Reflex Defense, though he or she still gains the benefit of the shield. Regardless of whether or not the character is proficient in the personal shield, the character always takes the armor check penalty associated with the shield while it is activated. Additionally, each type of energy shield imposes its Maximum Dexterity Bonus restriction only when activated, not when worn and inert. An energy shield can be added to a suit of armor as an accessory. An energy shield can be modified by armor templates (see below) only if the template specifically states that it can be used on energy shields, and the shield confers that benefit only when it is activated.

The SR provided by the energy shield determines the shield's price, as well as the type of Armor Proficiency feat required to operate the shields without penalty. SR 5 and SR 10 energy shields require Armor Proficiency (light); SR 15 and SR 20 energy shields require Armor Proficiency (medium); SR 25 and greater energy shields require Armor Proficiency (heavy). See Table 5-4 for prices of energy shields.
",-10,12500,0,0,2,4/x3,3/x3,1,,1,,"5 charges, activate 1/encounter for length of encounter, only protects against energy dmg, works against lightsabers as per the KOTOR sidebar rules.",,,,,"Sith troopers, old Republic troopers"
K,211,w,"Energy shields, heavy SR 25 (Calo Nord's Verpine Prototype)","Energy Shields (KotORCG)
Light, Medium, and Heavy Armor

Rising to prominence in the days after the Great Sith War, personal energy shields project a thin layer of shielding over an individual character or creature. The popularity of energy shields sparks a revolution in combat tactics, including a surge in the popularity of melee weapons and non-energy projectile weapons. Just as the spread of energy shields is a response to the prominence of energy weapons, they in turn cause warriors to adjust their tactics to deal with personal energy shields.

Energy shields give a character a Shield Rating, which functions exactly as vehicle and starship shields. An energy-shield generator is typically worn on the forearm or upper arm and must be activated as a swift action. Energy shields typically have 5 charges, and energy shields can only be activated once per encounter (the stress on the shield generator causes the device to overload otherwise, so the manufacturers build in fail-safes to prevent such an occurrence). Each activation consumes one charge and lasts through the end of the encounter. An energy shield only protects against weapons that deal energy damage; a weapon that deals any other type of damage bypasses the shield's SR entirely.

Energy shields come in three varieties: light, medium, and heavy. Each energy shield type corresponds to an armor type. A character with an active personal shield without the relevant Armor Proficiency feat takes a -5 penalty to Reflex Defense, and the wearer is denied its Dexterity bonus to Reflex Defense, though he or she still gains the benefit of the shield. Regardless of whether or not the character is proficient in the personal shield, the character always takes the armor check penalty associated with the shield while it is activated. Additionally, each type of energy shield imposes its Maximum Dexterity Bonus restriction only when activated, not when worn and inert. An energy shield can be added to a suit of armor as an accessory. An energy shield can be modified by armor templates (see below) only if the template specifically states that it can be used on energy shields, and the shield confers that benefit only when it is activated.

The SR provided by the energy shield determines the shield's price, as well as the type of Armor Proficiency feat required to operate the shields without penalty. SR 5 and SR 10 energy shields require Armor Proficiency (light); SR 15 and SR 20 energy shields require Armor Proficiency (medium); SR 25 and greater energy shields require Armor Proficiency (heavy). See Table 5-4 for prices of energy shields.
",-10,,0,0,2,4/x3,3/x3,1,Unique,,,as heavy energy shields with Verpine (DR 10 vs. ion) and Prototype (+1 die dmg on crit),,,,,bounty hunter Calo Nord
