BOOK,PAGE,HAZARD,Type,Location,CL,Trigger,Attack,Defense,Damage (type; failure),Recurrence,Special,Skill 1,Skill 2,Skill 3
CR,252,Acid,Acid; Contact,,2,,+5,Fort,2d6 (acid; 1/2),Each rnd,Occurs when target comes into contact; atk occurs each round until acid is washed off or treated (DC15 Treat Injury & medical kit),,,
UR,101,Acid,Acid; Contact; Natural,,2,"Creature, droid, or object comes into contact w/ acid",+4,Fort,2d10 (acid; 1/2 dmg),"Each rnd at start of target's turn, until acid is washed off or treated",,Treat Injury (DC14; req medical kit): Char treats the acid.,,
D1,12,Acid Pool,Acid; Contact,,1,,+2,Fort,1d6 (acid),Each rnd,"Can detect/avoid w/ DC10 Perception check; if check fails, step in pool and do dmg (no atk roll); atks each rnd after first exposure; stops atking when fails atk or is washed off",,,
UR,110,Animal Trap,Artificial; Contact,Forest/Jungle,3,Creature enters sq occupied by trap,+5,Ref,"2d4+1 and target moves  -1 persistent step on CT (; 1/2 dmg, no CT movement)",On trigger,Creature that gains persistent condition from this hazard can't move up the CT until it spends at least 1 hour resting in a normal environment.,"Perception (DC14): Char detects trap before they reach it, gaining +2 circumstance bonus to Ref Def to avoid hazard.",Mechanics (DC24): Char successfully disarms the trap.,"Survival (DC19): Char determines which type of creature trap is designed to capture.  For the next hour, char gains +1 bonus to attempts to spot that creature."
UR,114,Asteroid Field,Atmospheric; Natural,Space,10,Vehicle begins its turn in an asteroid field,+12,Ref,4d6x2,"Each rnd at start of vehicle's turn, as long as vehicle is w/in area occupied by asteroid field",,Perception (DC19): Char notices asteroids heading toward vehicle.,"Pilot (DC28): Char tries to avoid hitting any asteroids for 1 rnd, gaining +5 circumstance bonus to vehicle's Ref Def to avoid incoming rocks.",
R,108,Atgar 1.4 FD P-Tower Light Antivehicle Laser Cannon,Traps/Security Systems/Emplacements; Artificial; Energy,,5,,+3,Ref,3d10x2 (energy),,,,,
UR,101,"Atmosphere, Corrosive",Acid; Atmospheric; Contact; Natural,,4,"Creature, droid, or object begins its turn in a corrosive atmosphere",+4,Fort,2d6 (acid; 1/2 dmg),On trigger,"Creatures, droids, or objects that have special protection against corrosive atmosphere, such as environmentally sealed space suits, are not affected by this hazard.",Know(physical sciences) (DC16): Char identifies presence of corrosive atmosphere.,,
UR,101,"Atmosphere, Toxic",Atmospheric; Contact; Natural,,6,Creature begins its turn in toxic atmosphere,+5,Fort,1d6 and target moves -1 persistent step on CT (; 1/2 dmg and no CT movement),On trigger,"Creatures, droids, or objects that have special protection against toxic atmosphere, such as environmentally sealed space suits, are not affected by this hazard.",Know(physical sciences) (DC17): Char identifies presence of toxic atmosphere.,,
UR,102,"Atmosphere, Vacuum",Atmospheric; Contact; Natural,,8,Creature begins its turn in vacuum,+20; auto hit against unconscious targets,Fort,1d6 and target moves -2 steps on CT (; no dmg and target moves -1 step on CT),On trigger,Creature can't move back up CT until it's returned to breathable atmosphere.,"Endurance (DC10): Char holds breath for 1 rnd, reducing vacuum's atk roll by 10. Each rnd char holds breath, check DC increases by 2.",,
GW,98,Automated Sentry Gun,Traps/Security Systems/Emplacements; Artificial; Area; Energy,,2,,+3 area,Ref,3d8+2 (energy; 1/2 dmg),,2x2 area; add +1 to hit and +1 dmg if within 50sq,,,
C,103,AV-7 Antivehicle Cannon,Traps/Security Systems/Emplacements; Artificial; Energy,,6,,+6,Ref,5d10x2 (energy),,,,,
UR,105,Avalanche,Natural,Arctic,10,"Creature, droid, or object w/in area of the hazard fires a wpn that makes noise; targets any creature, droid, or object in area of avalanche",+12,Ref,2d8+1 and target moves -1 step on CT,"Each rnd at start of target's turn, as long as target remains w/in area of avalanche","If hazard's atk roll exceeds target's Ref Def by 5 or more, target is buried under avalanche.",Know(physical sciences) (DC24): Char identifies weak shelf that could cause avalanche.,,
J,131,Battle Hydra Poison,Poison; Injury,Forest/Jungle,,Battle Hydra sting,+9,Fort,"3d6, -1 CT",Each rnd at start of Battle Hydra's turn,Cured with DC 15 Treat Injury,,,
UR,114,Black Hole,Natural,Space,20,Vehicle begins its turn in the gravity well of black hole,+22,Fort,"4d8x2 and vehicle moves -1 step on CT (; 1/2 dmg, no CT movement)","Each rnd at start of vehicle's turn, as long as vehicle is w/in area occupied by black hole","Event horizon for black hole covers area w/ 10 sq radius (starship scale) centered on black hole's central sq.  W/in event horizon, missiles and torpedoes are ineffective, and atks w/ laser wpns take -20 penalty.","Mechanics (DC36): Char works diligently to keep the ship from breaking apart, granting the vessel +2 equip bonus to Fort Def against hazard.","Pilot (DC36): Char fights severe pull of gravity and flies the vehicle toward safety, moving 1 sq away from center of hazard.","Use Computer (DC31): Char detects black hole on the vehicle's sensors, granting +2 circumstance bonus to crew's Mechanics checks and Pilot checks when dealing w/ hazard."
CR,256,Blaster Rifle Turret,Traps/Security Systems/Emplacements; Artificial; Energy,,3,,+5,Ref,3d8 (energy),,"Usually mounted to section of floor/wall/ceiling; has range of rifle, can fire in any direction; can fire single shots or autofire; trained in Init (+5), Perception (+5); darkvision; makes 1 atk/rnd against closest target w/in LOS",,,
CR,256,Blaster Turret,Traps/Security Systems/Emplacements; Artificial; Energy,,2,,+5,Ref,3d6 (energy),,"Usually mounted to section of floor/wall/ceiling; has range of pistol, can fire in any direction; trained in Init (+5), Perception (+5); darkvision; makes 1 atk/rnd against closest target w/in LOS",,,
UR,105,Blizzard,Atmospheric; Natural,Arctic,3,Creature starts its turn in a blizzard,+5,Fort,"2d4+1 and target moves  -1 step on CT (; 1/2 dmg, no CT movement)",Hourly,"Grants concealment to creatures, droids, and objects w/in it.","Endurance (DC24): Char forces themselves to move through the storm, gaining +5 circumstance bonus to Fort Def against hazard.",Know(physical sciences) (DC14): Char identifies blizzard before it reaches them.,
UR,173,Brintak Poison,Poison; Injury,Forest/Jungle,,Brintak tentacle hit,+10,Fort,1d12 (; 1/2 dmg),None,,,,
UR,176,Building Decompression,Natural,Indoor/Urban,14,A transparisteel window or wall takes at least 20 pts of dmg; targets all creatures w/in room or corridor where the damaged section is located,+16,Ref,No dmg and target is pulled 20 sq toward the damaged wall section (; no dmg and target is pulled 10 sq toward damaged wall section),On trigger,"Any creature pulled into same sq as damaged wall or window is sucked out into vacuum by this hazard, and must then face vacuum atmosphere hazard.","Climb (DC27): Char grabs a stable object as reaction and negates the forced movement. Alternately, if char is already secured, they can grab adjacent char and prevent it from being moved by hazard.",,
GI,65,Bundar Root,Poison; Ingested,,1,,+5,Fort,,Each rnd,"Causes short-term memory loss and affects the ability to reason; if atk, is successful, target suffers -5 penalty to all skill checks that rnd; poison atks each rnd until cured w/ successful DC15 Treat Injury check",,,
GW,162,Carbonite Freezing Chamber,Station; Artificial,Indoor/Urban,Station CL,,2+station's CL,Fort,10+1/2 station's CL; special,,"Regardless of whether char takes dmg, they are frozen in carbonite, cannot move or act until unfrozen, and is considered unconscious. Char emerging from carbon freeze has persistent condition and immediately moves -4 steps CT; persistent condition can only be removed after 8 hrs of rest. If char standing adjacent to carbonite freezing chamber takes dmg from melee atk, must make DC15 Acrobatics check to avoid falling in. Control panel to one side activates the freezing process, which takes 1 rnd to complete. Carbonite slab (70 hp; DR10) can be transported through harsh conditions (i.e. vacuum) w/o harming victim inside",,,
CR,254,Cardooine Chills,Disease,,2,,+2,Fort,"1d6, -1 persistent",Each day,"Occurs first time char exposed to disease; if initial atk succeeds, atk occurs again each day disease remains untreated; treating disease reqs DC15 Treat Injury check",,,
UR,110,Carnivorous Plants,Natural,Forest/Jungle,6,Creature begins turn w/in 3 sq of carnivorous plant,+8,Ref,2d12,"Each rnd at end of target's turn, while target is w/in 3 sq of plant","If plant's atk roll exceeds targets Ref Def by 5 or more, target is grabbed and pulled toward the plant 1 sq/rnd.  If target reaches plant, target is swallowed and can be freed only by destroying the plant (Ref Def 8, Fort Def 14).","Acrobatics (DC22): As reaction, char avoids being grabbed when attacked by plant, but they still take dmg.","Know(life sciences) (DC22): Char identifies plant as carnivorous and knows it will atk if they get too close, gaining +2 circumstance bonus to Ref Def against hazard.","Stealth (DC27): When char begins turn w/in 3 sq of plant, char avoids being detected by plant for 1 rnd."
UR,168,Carnivorous Plants of Durace,Natural,Forest/Jungle,11,Creature or droid enter sq w/in 3 sq of carnivorous plant of Durace,+13,Ref,4d6+1 (; 1/2 dmg),Each rnd on initiative (Init +10),Creature or droid reduced to 0 hp by this hazard takes -10 penalty to Endurance checks as long as it remains w/in 3 sq of hazard.,"Acrobatics (DC24): Char makes check as part of move action; if successful, can pass w/in 3 sq of carnivorous plant of Durace during that move action w/o triggering hazard.",Know(life sciences) (DC19): Char identifies carnivorous plant.,
UR,116,Cave-In,Natural,Subterranean,8,"Creature, droid, or vehicle w/in cavern fires wpn that makes noise; targets any creature, droid, or object in area of cave-in",+10,Ref,4d6,"Each rnd at start of target's turn, as long as target remains w/in area of cave-in",,"Acrobatics (DC28): Char tumbles away from debris, gaining +5 circumstance bonus to Ref Def against hazard.",Perception (DC23): Char realizes that rock ceiling might be weak enough to collapse if loud sound occurs w/in cavern.,
GW,162,Chasms and Pits,Station; Artificial,,,,None,,Special,,Depth = 2x station's CL sq. Any chasm deep enough to deal fatal dmg can be described as bottomless; if char survives GM can rule that they landed on a ledge or outcropping that prevented a lethal fall,,,
GI,65,Chuba Poison,Poison; Ingested,,8,,+10,Fort,-1 CT (; no CT move),None,"Potential to cause strokes; if atk beats Fort Def by 10 or more, target remains at -1 CT until 3 separate and successful DC20 Treat Injury checks",,,
GW,162,Conveyor Belts,Station; Artificial,Indoor/Urban,,,None,,Special,,Creature moving in same direction moves at 2x normal movement rate; creature moving against direction moves at half normal rate. Any creature that steps onto or starts turn on conveyor belt must make DC20 Acrobatics check as free action or be flat-footed until start of next turn,,,
T,107,Corellian Sand Panther Poison,Poison; Injury,Forest/Jungle,,Sand Panther claw,+9,Fort,-1 CT,Each rnd,Cured with DC 15 Treat Injury,,,
CR,253,Corrosive Atmosphere,Atmospheric; Acid,,4,,+5,Fort,2d6 (acid; 1/2),Each rnd exposed,Occurs each rnd exposed,,,
UR,104,Crashing Waves,Natural,Aquatic,1,Creature or droid w/in area of hazard on the hazards Init count,+4,Fort,Target is knocked prone and slides 1 sq toward source of waves,"Each rnd, on initiative (Init +5)",,Acrobatics (DC13): Char can make Acrobatics check as a reaction to avoid being knocked prone by the waves.,,
UR,112,Crowd,Natural,Indoor/Urban,2,Creature begins turn in the crowd,+4,Ref,2d10,"Each rnd at start of target's turn, as long as target is in crowd",General attitude of crowd can help or hinder efforts of creature trying to move through.  Crowd Attitude worksheet determines the mods that creatures receive on attempts to make their way through crowd.,"Know(social sciences) (DC24): Char predicts the direction in which various elements w/in crowd will move, gaining +5 bonus to Ref Def against hazard.","Persuasion (DC19): Char convinces crowd to clear a path for char and their allies, gaining +2 circumstance bonus to Ref Def against hazard.",
D6,31,Crowded Skylane,Environmental; Artificial,Indoor/Urban,,,"+1 Large, +2 Huge, +5 Colossal",Ref,,,Pilot may reduce dmg from collision by 1/2 as reaction w/ DC15 Pilot check,,,
GW,162,Crushing Damage,Station; Artificial,Indoor/Urban,Station CL,,2+station's CL,Ref,10+1/2 station's CL; special,Each rnd,Creature being crushed takes dmg each rnd until they make a hard Str check to pry free; hazard that completely encompasses target doesn't need to make atk roll; some crushing hazards (i.e. trash compactor) may not allow creatures to make Str checks,,,
UR,64,Dark Wolf Poison,Poison; Injury,Arid/Desert,,claw or stinger,+10,Fort,-1 CT; immobilized if moved to bottom of CT,Each rnd,Cured with DC 10 Treat Injury,,,
L,56,Death Sticks,Poison; Ingested,Indoor/Urban,,,Autohit,,,,"+1 morale to attacks and defenses, -10 to UtF and cannot spend FP's. Lasts 1 hr (-5 mins for each subsequent use). At end, atk +10 vs Fort, target is addicted",,,
D6,32,Dense Smoke,Atmospheric,,,,+10,Fort,"1d8, -1 persistent (1/2, no CT move)",Each rnd exposed,"Occurs each rnd exposed; if target has self-contained air supply (e.g. breath mask), suffer no ill effects; fully enclosed speeders don't have sufficient filters to block out atmosphere, but shutting vents cuts atks to every other rnd; objects w/in 12 sq have concealment, objects farther than 12 sq have total concealment; low-light vision doesn't counter concealment",,,
UR,115,Depressurization,Atmospheric; Artificial,Space,7,An opening is created between outer space and compartment containing creatures; targets any creatures w/in area of depressurization,+9,Fort,"2d6+1 and creature moves -1 on CT (; 1/2 dmg, no CT movement)","Each rnd at start of target's turn, as long as target is w/in area of depressurization","After 1d6+4 rnds, air is completely vented, changing the hazard to Atmosphere, Vacuum.","Endurance (DC22): Char manages to control their breathing despite the decreasing amt of air in the area, gaining +2 circumstance bonus to Fort Def against hazard.",,
GI,65,Devaronian Blood-Poison,Poison; Contact,,4,,+5,Fort,-1 CT can only move at 1/2 speed,Each rnd,"if atk succeeds target is wracked w/ pain; if target moves to point on CT that would normally reduce speed to 1/2, it's immobilzed; poison atks each rnd until cured w/ successful DC20 Treat Injury check",,,
R,108,DF.9 Anti-Infantry Battery,Traps/Security Systems/Emplacements; Artificial; Energy,,5,,+3,Ref,4d10x2 (energy),,,,,
CR,255,Dioxis,Poison; Inhaled; Artificial,,8,,+10,Fort,"4d6, -1 CT (1/2, no CT move)",Each rnd,"Inhaled gas; occurs each rnd exposed; if initial atk succeeds, atk occurs each rnd until cured by DC25 Treat Injury check",,,
GW,163,Dioxis Gas,Gas; Artificial,,8,,+10,Fort,"4d6, -1 CT (1/2, no CT move)",Each rnd exposed,Gas fills 20x20 meter room in 3 rnds,,,
UR,102,"Disease, Cardooine Chills",Atmospheric; Disease; Natural,,2,Creature is exposed to disease,+4,Fort,1d6 and target moves -1 persistent step on CT,"Daily, until treated","Once creature has been exposed to Cardooine chills and disease has been treated, creature can't contract the disease again.",Know(life sciences) (DC14): Char identifies disease.,Treat Injury (DC15; req medical kit): Char treats disease.,
UR,102,"Disease, Krytos Virus",Atmospheric; Disease; Natural,,5,Creature is exposed to disease,+10,Fort,2d6 and target moves -1 persistent step on CT,"Daily, until treated","The Krytos virus takes -5 penalty to atks against Humans. Once creature has been exposed to Krytos virus and disease has been treated, creature can't contract disease again.",Know(life sciences) (DC21): Char identifies disease.,Treat Injury (DC21 or DC16 w/ bacta tank; req medical kit): Char treats disease.,
UR,107,Dust Devil,Area; Natural,Arid/Desert,5,Creature begins its turn w/in 3 sq of dust devil,+7 area,Ref,2d10+1 (; 1/2 dmg),"Each rnd at start of target's turn, as long as target is w/in 3 sq of dust devil","If hazard's atk roll exceeds target's Ref Def by 5 or more, at the end of the rnd, target is sucked into whirlwind and thrown 12 sq. Upon landing, target takes addl 3d8 pts of dmg.","Acrobatics (DC26): Char reduces effects of being thrown by dust devil's special effect, taking 1/2 dmg if hazard hits and 1/4 dmg if it misses.",Perception (DC16): Char spots dust devil before it reaches them.,
J,136,Dxun Tomb Beast Poison,Poison; Injury,,10,injury,+12,Fort,"4d6, -1 persistent (0 dmg)",None,"When creature takes dmg from wpn coated w/ Sith poison or ingests substance tainted w/ Sith poison; whether poison atk succeeds or fails, poison feeds target's anger, drawing it closer to the Dark Side until effect is negated; every time target spends FP, make +12 atk roll against target's Will Def; if atk succeeds, char calls upon the Dark Side and increases its Dark Side Score by 1; every time an atk made by the Sith poison fails, a char can make a DC25 UtF check to neutralize the poison; if poison atk fails 5 consecutive times, poison is auto neutralized",,,
D6,49,Electrical Wiring,Electrical; Artificial,Indoor/Urban,,,+10,Ref/Fort,2d10/-1 CT,,,,,
UR,112,Electrified Fence,Artificial; Contact; Energy,Indoor/Urban,5,Creature or droid touches fence,+7,Ref,2d6 and target moves -1 step on CT (; 1/2 dmg and no CT movement),"Each rnd at start of target's turn, as long as target is in contact w/ fence",,"Acrobatics (DC21): Char tumbles away from fence, gaining +5 circumstance bonus to Ref Def to avoid hazard.",Jump (DC26): Char leaps over fence w/o taking dmg.,
GW,163,Electrified Floors,Station; Artificial; Energy,Indoor/Urban,Station CL,,2+station's CL,Fort,10+1/2 station's CL (energy); special,Each rnd exposed,"Creature standing on active electrified floor immediately take dmg; if creatures starts turn on electrified floor, floor makes hazard atk, successful atk knocks target prone",,,
D1,13,Exploding Fungus Bloom,Environmental; Energy,Forest/Jungle,2,,+3,Ref,2d6 (energy),,,,,
UR,102,Explosive Charge,Area; Artificial; Energy,Indoor/Urban,5,"Explosive's timer expires; targets all creatures, droids, and objects in 1 sq burst radius",+10 area,Ref,10d6 (; 1/2 dmg),None,,Mechanics (DC16): Char disarms explosive charge.,,
UR,102,"Explosive Trap, Detonite",Area; Artificial; Energy,Indoor/Urban,2,"Explosive's timer expires; targets all creatures, droids, and objects in 1 sq burst radius",+10 area,Ref,5d6 (; 1/2 dmg),None,,Mechanics (DC14): Char disarms explosive trap.,,
UR,112,Exposed Plasma Conduit,Artificial or natural; Contact; Fire,Indoor/Urban,9,"Atk misses target in sq adjacent to exposed conduit, setting it off",+11,Ref,2d8 and target moves -1 step on CT (; 1/2 dmg and no CT movement),"Each rnd at start of target's turn, as long as target is in area of plasma spill",,"Jump (DC23): Char leaps over or away from spilled plasma, gaining +2 circumstance bonus to Ref Def against hazard.",Treat Injury (DC18; req medpac): Char treats injured creature for plasma burns.,"Use Computer (DC28): Char slices into control network and diverts plasma flow away from area, negating hazard."
CR,254,Extreme Cold,Extreme Temp,,4,,+5,Fort,"2d6, -1 persistent (hypothermia; 1/2, no CT move)",Each hour exposed,Hvy clothing/armor provides +5 equip bonus to Fort Def; can't regain hp or improve condition until spending at least 1 hr in normal environment,,,
CR,254,Extreme Heat,Extreme Temp,,4,,+5,Fort,"2d6, -1 persistent (heatstroke; 1/2, no CT move)",Each hour exposed,Hvy clothing/armor imposes -5 penalty to Fort Def; can't regain hp or improve condition until spending at least 1 hr in normal environment,,,
R,28,Extreme Temperatures (vs. vehicles),Environmental; Artificial or Natural; Space,,4,Vehicle operates in extreme heat or cold,+10,Fort,-1 persistent CT until repairs,Each minute,,,,
UR,103,Extreme Temps,Natural,,4,Creature is exposed to extreme heat or cold,+6,Fort,2d6 and target moves -1 persistent step on CT (; 1/2 dmg and no CT movement),Hourly,Creature that has taken dmg from extreme temp can't regain hp or move up the CT until it spends at least 1 hr in normal environment. Hvy clothing or armor provides +5 equip bonus to Fort Def to resist extreme cold but imposes -5 penalty to Fort Def to resist extreme heat.,,,
D6,32,Factory Power Coupling,Environmental; Artificial; Area,Indoor/Urban,,,+10 area,Ref,5d10 (ion; 1/2),,,,,
CR,255,Falling Damage,,,,,+20,Fort,"1d6 per 3m, max 20d6 (;1/2)",None,"Land Prone. If you are trained in the Acrobatics or Jump skills, you can reduce the damage you take from a fall with a successful skill check (see skill descriptions). If the check succeeds and you take no damage from the fall, you land on your feet. If you fall from a height of greater than 60 meters, treat the fall as being only 60 meters for the purposes of reducing falling distance.",,,
D6,49,Falling Debris,Crushing; Area,,,,+10 area,Ref,2d10 (1/2),,,,,
CR,254,"Falling Objects, colossal",Artificial or Natural,,,,+20 area,Ref,20d6 (;1/2),None,"Objects of Fine and Diminutive size are too small to deal dmg; falling object must land wholly or partly in creature's fighting space to dmg the creature; GM may adjust dmg depending on circumstance (i.e. Colossal object that's extremely light like a gas-filled passenger balloon); objects forced downward (piston, closing door) deal dmg as if they were 2 sz categories larger; if target is at least 3 sz categories smaller than the falling object, target can't move unless it succeeds on Str check to lift object off or DC15 Acrobatics check to crawl out from underneath (GM can modify DCs if for example, object has openings or gaps)",,,
CR,254,"Falling Objects, gargantuan",Artificial or Natural; Area,,,,+10 area,Ref,12d6 (;1/2),None,"Objects of Fine and Diminutive size are too small to deal dmg; falling object must land wholly or partly in creature's fighting space to dmg the creature; GM may adjust dmg depending on circumstance (i.e. Colossal object that's extremely light like a gas-filled passenger balloon); objects forced downward (piston, closing door) deal dmg as if they were 2 sz categories larger; if target is at least 3 sz categories smaller than the falling object, target can't move unless it succeeds on Str check to lift object off or DC15 Acrobatics check to crawl out from underneath (GM can modify DCs if for example, object has openings or gaps)",,,
CR,254,"Falling Objects, huge",Artificial or Natural; Area,,,,+5 area,Ref,8d6 (;1/2),None,"Objects of Fine and Diminutive size are too small to deal dmg; falling object must land wholly or partly in creature's fighting space to dmg the creature; GM may adjust dmg depending on circumstance (i.e. Colossal object that's extremely light like a gas-filled passenger balloon); objects forced downward (piston, closing door) deal dmg as if they were 2 sz categories larger; if target is at least 3 sz categories smaller than the falling object, target can't move unless it succeeds on Str check to lift object off or DC15 Acrobatics check to crawl out from underneath (GM can modify DCs if for example, object has openings or gaps)",,,
CR,254,"Falling Objects, large",Artificial or Natural; Area,,,,+2 area,Ref,4d6 (;1/2),None,"Objects of Fine and Diminutive size are too small to deal dmg; falling object must land wholly or partly in creature's fighting space to dmg the creature; GM may adjust dmg depending on circumstance (i.e. Colossal object that's extremely light like a gas-filled passenger balloon); objects forced downward (piston, closing door) deal dmg as if they were 2 sz categories larger; if target is at least 3 sz categories smaller than the falling object, target can't move unless it succeeds on Str check to lift object off or DC15 Acrobatics check to crawl out from underneath (GM can modify DCs if for example, object has openings or gaps)",,,
CR,254,"Falling Objects, medium",Artificial or Natural; Area,,,,+0 area,Ref,2d6 (;1/2),None,"Objects of Fine and Diminutive size are too small to deal dmg; falling object must land wholly or partly in creature's fighting space to dmg the creature; GM may adjust dmg depending on circumstance (i.e. Colossal object that's extremely light like a gas-filled passenger balloon); objects forced downward (piston, closing door) deal dmg as if they were 2 sz categories larger; if target is at least 3 sz categories smaller than the falling object, target can't move unless it succeeds on Str check to lift object off or DC15 Acrobatics check to crawl out from underneath (GM can modify DCs if for example, object has openings or gaps)",,,
CR,254,"Falling Objects, small",Artificial or Natural; Area,,,,-2 area,Ref,1d6 (;1/2),None,"Objects of Fine and Diminutive size are too small to deal dmg; falling object must land wholly or partly in creature's fighting space to dmg the creature; GM may adjust dmg depending on circumstance (i.e. Colossal object that's extremely light like a gas-filled passenger balloon); objects forced downward (piston, closing door) deal dmg as if they were 2 sz categories larger; if target is at least 3 sz categories smaller than the falling object, target can't move unless it succeeds on Str check to lift object off or DC15 Acrobatics check to crawl out from underneath (GM can modify DCs if for example, object has openings or gaps)",,,
CR,254,"Falling Objects, tiny",Artificial or Natural; Area,,,,-5 area,Ref,1d4 (;1/2),None,"Objects of Fine and Diminutive size are too small to deal dmg; falling object must land wholly or partly in creature's fighting space to dmg the creature; GM may adjust dmg depending on circumstance (i.e. Colossal object that's extremely light like a gas-filled passenger balloon); objects forced downward (piston, closing door) deal dmg as if they were 2 sz categories larger; if target is at least 3 sz categories smaller than the falling object, target can't move unless it succeeds on Str check to lift object off or DC15 Acrobatics check to crawl out from underneath (GM can modify DCs if for example, object has openings or gaps)",,,
GI,142,Falsin's Rot,Disease,,7,,+10,Fort,"1d8, -1 persistent",,"Begins as spore that can take root anywhere on subject's skin, but usually begins on extremities.  Painful, itching lesions form as the fungus multiplies, spreading along limbs onto victim's torso and abdomen. If left alone, will consume subject in less than standard week. Can be treated and cured w/ applications of salves made from local flora and standard medical compounds. If treated early, few signs remain, victims of advanced cases exhibit severe scarring, w/ the worst cases resulting in limb loss. Occurs each day Falsin's rot remains untreated. Char who remains at -3 CT for 2 days as a result of Falsin's rot, permanently loses the use of an affected limb. Treatment reqs DC20 Treat Injury check.",,,
CR,255,Fire,Fire; Artificial or Natural,,,,+5,Fort,1d6 (fire; 1/2),Each rnd,Char/creature that takes fire dmg catches fire; occurs each rnd creature is on fire; can put out flames as full-round action,,,
