BOOK,PAGE,WEAPON,Desc.,Wpn Type,Size,Cost, Damage,Stun,Weight,Dmg Type,Avail.,Thrown / Reach, Extra cost, Build DC,COMMENTS,Used by
CR,121,"Amphistaff, Quarterstaff form","Amphistaff
Exotic Weapon
An amphistaff is a serpentine creature genetically engineered by the Yuuzhan Vong to serve as a weapon. The amphistaff can become as rigid as stone or as flexible as rope, and it can contract the muscles around its head and tail to form razor-sharp edges.

The amphistaff has three distinct weapon forms: quarterstaff, spear, or whip. Switching from one weapon form to another takes a swift action.

Quarterstaff Form: A rigid amphistaff has all the qualities of a quarterstaff (see below).

Spear Form: A rigid amphistaff can be wielded or thrown as a spear (see below). The spear's head is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track (see Conditions, page 148).

Whip Form: A flexible amphistaff has a reach of 2 squares (see Reach, page 161). The whip's tail deals 1d4 points of piercing damage (plus the wielder's Strength modifier) and is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track. Instead of dealing damage with the whip, the wielder may use it to pin or trip the target (see Grapple, page 153) as though he was using the Pin or Trip feat (see Chapter 5: Feats); the wielder must be proficient with the amphistaff but doesn't need to have the Pin or Trip feat to use this feature of the weapon .

In any of its weapon forms, an amphistaff may be coaxed by its wielder to spit venom up to 10 squares away (a standard action). If this ranged attack hits both the target's Reflex Defense and Fortitude Defense, the target moves -1 persistent step on the condition track. An amphistaff can only spit venom once every 24 standard hours.

",E,L,,1d6/1d6,,2,Bludgeoning,Rare,,,,Yuuzhan Vong treat the amphistaff as a simple weapon instead of an exotic weapon.,Yuuzhan Vong
CR,121,"Amphistaff, Spear form","Amphistaff
Exotic Weapon
An amphistaff is a serpentine creature genetically engineered by the Yuuzhan Vong to serve as a weapon. The amphistaff can become as rigid as stone or as flexible as rope, and it can contract the muscles around its head and tail to form razor-sharp edges.

The amphistaff has three distinct weapon forms: quarterstaff, spear, or whip. Switching from one weapon form to another takes a swift action.

Quarterstaff Form: A rigid amphistaff has all the qualities of a quarterstaff (see below).

Spear Form: A rigid amphistaff can be wielded or thrown as a spear (see below). The spear's head is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track (see Conditions, page 148).

Whip Form: A flexible amphistaff has a reach of 2 squares (see Reach, page 161). The whip's tail deals 1d4 points of piercing damage (plus the wielder's Strength modifier) and is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track. Instead of dealing damage with the whip, the wielder may use it to pin or trip the target (see Grapple, page 153) as though he was using the Pin or Trip feat (see Chapter 5: Feats); the wielder must be proficient with the amphistaff but doesn't need to have the Pin or Trip feat to use this feature of the weapon .

In any of its weapon forms, an amphistaff may be coaxed by its wielder to spit venom up to 10 squares away (a standard action). If this ranged attack hits both the target's Reflex Defense and Fortitude Defense, the target moves -1 persistent step on the condition track. An amphistaff can only spit venom once every 24 standard hours.

",E,L,,1d8,,2,Piercing,,T,,,"can be thrown, if over threshold -1 CT (poison)",Yuuzhan Vong
CR,121,"Amphistaff, Whip form","Amphistaff
Exotic Weapon
An amphistaff is a serpentine creature genetically engineered by the Yuuzhan Vong to serve as a weapon. The amphistaff can become as rigid as stone or as flexible as rope, and it can contract the muscles around its head and tail to form razor-sharp edges.

The amphistaff has three distinct weapon forms: quarterstaff, spear, or whip. Switching from one weapon form to another takes a swift action.

Quarterstaff Form: A rigid amphistaff has all the qualities of a quarterstaff (see below).

Spear Form: A rigid amphistaff can be wielded or thrown as a spear (see below). The spear's head is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track (see Conditions, page 148).

Whip Form: A flexible amphistaff has a reach of 2 squares (see Reach, page 161). The whip's tail deals 1d4 points of piercing damage (plus the wielder's Strength modifier) and is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track. Instead of dealing damage with the whip, the wielder may use it to pin or trip the target (see Grapple, page 153) as though he was using the Pin or Trip feat (see Chapter 5: Feats); the wielder must be proficient with the amphistaff but doesn't need to have the Pin or Trip feat to use this feature of the weapon .

In any of its weapon forms, an amphistaff may be coaxed by its wielder to spit venom up to 10 squares away (a standard action). If this ranged attack hits both the target's Reflex Defense and Fortitude Defense, the target moves -1 persistent step on the condition track. An amphistaff can only spit venom once every 24 standard hours.

",E,L,,1d4,,2,Piercing,,R,,,"reach 2sq, if over thresh -1 CT (poison), can pin or trip w/out feat",Yuuzhan Vong
L,97,Anakin Solo's Lightsaber,"Anakin Solo's Lightsaber (LECG)
Lightsaber, Heirloom Item
After Anakin Solo dies on the planet Myrkr, his lightsaber finds its way into the hands of Ganner Rhysode and even Anakin's uncle, Luke Skywalker, who wields it in a duel against Supreme Overlord Shimrra . The weapon is returned to Han Solo, who lays his son's lightsaber to rest in Chewbacca's memorial tree on Kashyyyk. 

In the Legacy era, Anakin's lightsaber could fall into the hands of a Jedi Padawan sent on a special mission to Kashyyyk to retrieve the weapon as a rite of passage for reaching knighthood.

Anakin Solo's Lightsaber: Medium lightsaber (2d8 damage) and symbol of the light. Once per encounter, as a reaction, the wielder can impose a penalty on anyone attack roll or skill check made by a character with a Dark Side Score of 1 or higher. This penalty is equal to the target's Dark Side Score. In addition, its wielder ignores restrictions on Sense Force and Sense Surroundings imposed by Yuuzhan Vong.
",L,M,,2d8,,1,Energy and slashing,Rare,,,,Symbol of the light and heirloom lightsaber (see L 97),
K,64,Arg'garok,"Arg'garok (KotORCG)
Exotic Weapon
The arg'garok is a rarely seen weapon created by the Gamorrean species and prized by their greatest warriors. The arg'garok resembles nothing more than a huge axe, balanced so that only the strongest and best-trained warriors can use it effectively. Any character attempting to wield an arg'garok without a Strength of 15+ suffers a -5 penalty on attack rolls with the weapon. Gamorreans treat the arg'garok as an advanced melee weapon instead of an exotic weapon.

",E,L,150,2d12,,2,Slashing,Rare,,,,"need Str 15 or -5 Atk, advanced melee weapon for Gamorreans",Gamorrean warriors
CR,121,Atlatl,"Atlatl
Exotic Weapon
A Gungan weapon, the atlatl adds speed and power as an extension of a throwing arm, allowing the user to hurl energy balls farther than with just an unaided toss. If forced into close combat, the wielder can use the atlatl as a club like melee weapon. Although the atlatl is considered an exotic weapon, Gungans are treated as proficient if they have the Weapon Proficiency (simple weapons) feat.

",E,M,50,2d4,,1.5,Bludgeoning,Rare,,,,Gunguns treat as simple weapon instead of exotic,Gungan
R,48,Axe,"Axe (RECG)
Simple Melee Weapon
Though this weapon is a smaller, unpowered version of the vibro-ax, many fringers find a blade on a haft to be indispensable in the wilds of untamed planets. An axe also has the advantage of being legal nearly everywhere, largely because no one thinks to outlaw such a simple tool. Modern versions made of advanced composite materials are common in many explorers' shops, and various species pressed into service by the Empire bring their own traditional axes with them when they are shipped across the galaxy.

",S,M,35,1d8,,2,Slashing,,T,,,Can be thrown,fringers
W,276,"Axe, small","Axe (RECG)
Simple Melee Weapon
Though this weapon is a smaller, unpowered version of the vibro-ax, many fringers find a blade on a haft to be indispensable in the wilds of untamed planets. An axe also has the advantage of being legal nearly everywhere, largely because no one thinks to outlaw such a simple tool. Modern versions made of advanced composite materials are common in many explorers' shops, and various species pressed into service by the Empire bring their own traditional axes with them when they are shipped across the galaxy.

",S,S,,1d6,,,Slashing,,T,,,Can be thrown,Ewok Scout
CR,121,Bayonet,"Bayonet
Simple Weapon
When mounted on a rifle, a bayonet allows you to use the rifle as a melee weapon much like a spear. When wielding a rifle with a mounted bayonet, you threaten squares within your reach (even if you used the rifle to make a ranged attack on your last turn), and you can use it to make attacks of opportunity. A bayonet requires two hands to use when mounted on a rifle.

A bayonet cannot be used on a rifle with a folded stock. A bayonet detached from a rifle is treated as a knife; a mounted bayonet deals more damage than the knife because of the added leverage and bulk.

",S,M,50,1d8,,1,Piercing,Licensed,,,,,military
UR,36,Blastsword,"Blastsword (UR)
Exotic Weapon
The favored weapon of duelists from the remote world of Adumar, the blastsword is an odd combination of a standard vibroblade and the inner workings more commonly found in blaster weapons. At the tip of the blade sits a small metal nozzle, which emits a slight glow and an audible hum when activated. When the user successfully stabs a target, the blaster energy discharges.

A blastsword is well balanced, and its wielder can consider it to be a light weapon for the purpose of using the Weapon Finesse feat. A blastsword requires a power pack to operate.

",E,M,600,3d6,,2.1,Energy,Rare,,,,considered light weapon,duelists
UR,142,"Ceremonial gloves, medium","Combat Gloves
Simple Weapon
A pair of padded gloves provides extra hitting power thanks to their weight and the materials used to construct them. Anyone who expects to get into a fistfight or a brawl probably wants to wear combat gloves. They provide a + 1 bonus to damage on a successful unarmed attack.

Combat gloves are two sizes smaller than their wearer (for example, a pair of combat gloves designed for a Human are Tiny). Because of how they are worn, combat gloves can't be disarmed or dropped.

",S,M,250,1,,0.5,Bludgeoning,,,,,Combat gloves count as both Unarmed AND Simple Weapons; are 2 sizes smaller than wearer,
UR,142,"Ceremonial gloves, small","Combat Gloves
Simple Weapon
A pair of padded gloves provides extra hitting power thanks to their weight and the materials used to construct them. Anyone who expects to get into a fistfight or a brawl probably wants to wear combat gloves. They provide a + 1 bonus to damage on a successful unarmed attack.

Combat gloves are two sizes smaller than their wearer (for example, a pair of combat gloves designed for a Human are Tiny). Because of how they are worn, combat gloves can't be disarmed or dropped.

",S,S,150,1,,0.4,Bludgeoning,,,,,Combat gloves count as both Unarmed AND Simple Weapons; are 2 sizes smaller than wearer,
CR,121,Cesta,"Cesta
Exotic Weapon
Another Gungan weapon, the cesta is a flexible pole used to hurl small energy balls. It can also be used as a staff-like melee weapon. Although the cesta is considered an exotic weapon, Gungans are treated as proficient if they have the Weapon Proficiency (simple weapons) feat.

",E,L,100,2d4,,1.8,Bludgeoning,Rare,R,,,Gunguns treat as simple weapon instead of exotic,Gungan
D7,15,"Club, large",,S,L,,1d8,,,Bludgeoning,,,,,,Coruscani Ogre
CR,121,Club/baton,"Club/Baton
Simple Weapon
Powered by the wielder's brute strength, clubs break an opponent's bones, or worse. They are the favored weapons of thugs. Batons (a variety of the club) are used by police forces on relatively peaceful worlds in crowd-control situations.

",S,S,15,1d6,,0.5,Bludgeoning,,,,,,"thugs, police"
CR,121,"Combat gloves, medium","Combat Gloves
Simple Weapon
A pair of padded gloves provides extra hitting power thanks to their weight and the materials used to construct them. Anyone who expects to get into a fistfight or a brawl probably wants to wear combat gloves. They provide a + 1 bonus to damage on a successful unarmed attack.

Combat gloves are two sizes smaller than their wearer (for example, a pair of combat gloves designed for a Human are Tiny). Because of how they are worn, combat gloves can't be disarmed or dropped.

",S,M,250,1,,0.5,Bludgeoning,,,,,Combat gloves count as both Unarmed AND Simple Weapons; are 2 sizes smaller than wearer,brawlers
CR,121,"Combat gloves, small","Combat Gloves
Simple Weapon
A pair of padded gloves provides extra hitting power thanks to their weight and the materials used to construct them. Anyone who expects to get into a fistfight or a brawl probably wants to wear combat gloves. They provide a + 1 bonus to damage on a successful unarmed attack.

Combat gloves are two sizes smaller than their wearer (for example, a pair of combat gloves designed for a Human are Tiny). Because of how they are worn, combat gloves can't be disarmed or dropped.

",S,S,150,1,,0.4,Bludgeoning,,,,,Combat gloves count as both Unarmed AND Simple Weapons; are 2 sizes smaller than wearer,brawlers
UR,36,Contact stunner,"Contact Stunner (UR)
Simple Weapon
Frequently sold as a personal protection device, the contact stunner is a small, inconspicuous weapon, the forward end of which is covered with over a dozen contact disks, enabling it to deliver a concentrated and, therefore, effective discharge when it contacts a target. However, the weapon's lack of mass makes it less useful for anything other than rendering a target unconscious.

Because of its slender and compact design, a contact stunner grants a +5 equipment bonus to Stealth checks made to conceal the weapon. A contact stunner requires an energy cell to operate.

",S,S,700,1d4,2d8,1.1,Bludgeoning or energy,Licensed,,,,+5 Stealth to conceal,inconspicuous personal protection
CR,122,Coufee,"Knife
Simple Weapon
While many weapons rely on highly advanced technology, knives still see wide use. A knife is completely silent and serves well in close-combat skirmishes.

",S,T,,1d4,,1,Slashing or piercing,,T,,,can be thrown,Yuuzhan Vong
GW,36,Darkstick,"Darkstick (GaW)
Exotic Weapon
The darkstick is a curved blade developed by the Kerestian species. Difficult to master, the weapon is deadly in the hands of a proficient wielder. Although they vary in size, a typical darkstick is about 20 centimeters long with a handle designed to be gripped between the large knuckles of a Kerestian. Masters of the darkstick can hold two or even three of the blades in each hand, greatly increasing the damage they deal. Darksticks are named for the Kerestian belief of the Great Darkness that awaits all souls.

Later versions of the darkstick also incorporate special webs of light-absorbing cells, which shroud the wielder in darkness. Attacks from enemies who are immediately adjacent treat the wielder as if he or she were in total concealment. Creatures or characters with darkvision ignore this penalty. The darkstick wielder must be able to see in the dark or take the penalty as well.

Any character proficient in the use of the darkstick can hold more than one in one hand, as Kerestians do. When wielding multiple darksticks in one hand, you are considered to be wielding only one weapon, but you increase the damage dice for the darkstick from 1d6 to 2d8. (The damage remains 2d8 for any number of darksticks over two.)

A darkstick can be thrown. If your attack exceeds the target's Reflex Defense by 5 or more, the darkstick also returns to your hand immediately after the attack.

",E,S,1000,1d6,,1.5,Slashing,Rare,T,,,"if wielding multiple can be considered wielding one for 2d8 dam, if thrown and over Ref Def by 5 returns to hand immediately",assassins?
T,13,Datadagger,"Datadagger (TotG)
Simple Weapon
A datadagger is an elaborate and decorative code cylinder (CR 134) that contains a hidden weapon. When the wielder twists the hilt, a needlelike blade extends from the socket. Since the blade is so well hidden within the code's electronics, it is hard to detect (+5 bonus to the Stealth check to conceal the object and no circumstance bonus if the examiner touches the wielder).

",S,T,500,1d4,,0.1,Piercing,Illegal,,,,"code cylinder, +5 Stealth to conceal dagger","smugglers, scoudrels, assassins?"
K,65,Dire sword,"Dire Sword (KotORCG)
Simple Weapon
This archaic weapon is a favorite of duelists and other students of classic fighting styles. Unpowered, this weapon is little more than a refinement of the classic longsword, crafted with tradition in mind but using the most modern technology.

",S,L,100,1d10,,4,Slashing or piercing,,,,,,duelists
K,65,Double-bladed sword,"Double-Bladed Sword (KotORCG)
Simple Weapon
This two-bladed version of the war sword allows those proficient in the use of two weapons to take advantage of their skills while wielding only one weapon. Typically the two blades are connected in the middle by a short length of metal, providing a safe place for the wielder to grip the weapon.

A double-bladed sword is a double weapon. You can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty (although certain feats and talents can reduce these penalties).

",S,L,120,1d6/1d6,,2,Slashing or piercing,,,,,,duelists?
UR,36,Electropole,"Electropole (UR)
Advanced Melee Weapon
Similar to the more common electrostaff, the electropole or static pike is an electrified melee weapon used primarily by the Gungans of Naboo and the picadors on Geonosis. Both cultures use the weapon for herding beasts as well as in battle. Unlike the standard electrostaff and the force pike, the electropole can be thrown like a javelin. Experienced users often keep two or three electropoles within reach when expecting trouble, one for close combat and the rest to be thrown at the enemy.

Gungans are considered proficient with the electropole if they have the Weapon Proficiency (simple weapons) feat. An electropole requires two energy cells to operate.

",AM,M,1500,2d8,2d8,1.3,Bludgeoning and energy,Licensed,T,,,"can be thrown, used by Geonosian arena guards (Picadors), Gunguns treat as simple weapon","Gungans, picadors on Geonosis, beastherders"
CR,139,Electroshock probe,,S,T,,1d8 ion,,,Energy (ion),,,,,normally a tool but can be used as makeshift weapon at -5 penalty (see Tool Kit); droid tool mounts avoid penalty,
CR,121,Electrostaff,"Electrostaff
Advanced Melee Weapon
An electrostaff is a double weapon: Each end has an electromagnetic pulse generator that discharges upon impact, allowing it to deal blunt-force wounds. If desired, either electromagnetic pulse can be set to stun its target instead. The staff is made of a resilient phrik alloy that gives it DR 20; this damage reduction applies even against lightsaber attacks.

Electrostaffs are not common except during the Clone Wars. The IG-100 Series MagnaGuard droid (see page 201) typically carries an electrostaff.

An electrostaff requires two energy cells to operate.

",AM,L,3000,2d6/2d6,2d6/2d6,2,Bludgeoning and energy,Restricted,,,,DR20 including against lightsabers; Magnaguard droid weapon,IG-100 Series MagnaGuard droid
L,98,Emperor Palpatine's Lightsaber,"Emperor Palpatine's Lightsaber (LECG)
Lightsaber, Heirloom Item
This red-bladed lightsaber belonged to one of the galaxy's most fearsome dictators. Constructed in the style of all Sith lightsabers, Emperor Palpatine's lightsaber practically drips with the dark side of the Force.

This lightsaber is a sacred artifact to the Sith of the legacy era, and any hero who comes to possess it will likely be stalked by agents of Darth Krayt until the weapon is secured.

Emperor Palpatine's Lightsaber:  Medium lightsaber (2d8 damage) steeped in the da rk side. Once per encounter, while carrying or using the lightsaber, the wielder can apply a destiny bonus equal to one- half his or her Dark Side Score on anyone attack roll or skill check made before the end of the wielder's turn. Applying this bonus increases the wielder's Dark Side Score by 1.
",L,M,,2d8,,1,Energy and slashing,Rare,,,,Steeped in the dark side and heirloom lightsaber (see L 97),
R,48,Energy Lance,"Energy Lance/Power Lance (RECG)
Advanced Melee Weapon
Essentially, an energy lance is a force pike that has been combined with an electromagnetic pulse generator (the same kind used by an electrostaff) and balanced for use while riding a mount. Energy lances once were commonly carried by honor guards and ceremonial troops such as the Mon Calamari Knights, and many such weapons still in circulation bear signs of their once- proud heritage. Though an energy lance is a Large weapon, it is balanced in such a way that a Medium creature trained in the Ride skill can wield it in one hand when mounted. If an energy lance is wielded by a Medium creature that is not mounted, attacks with the weapon take a -1 penalty.

The electromagnetic pulse can also be channeled along the length of the staff and fired from the tip as a bolt of plasma. When used in this way, the energy lance functions as a blaster carbine with no stun setting. This use of the energy lance requires a power pack, and has the same ammunition capacity as a blaster carbine.

An energy lance requires two energy cells to operate. Its melee attack and its ranged attack both function underwater.

Power lances are energy lances that lack the ability to fire bolts of plasma. These weapons are significantly cheaper and are mass-produced as secondary weapons for scouts on speeder bikes and for cavalry.

",AM,L,3500,2d8,,5,Piercing and energy,Restricted,,,,-1 if medium creature and not mounted; Mon Calamari traditional weapon,Mon Calamari Knights
C,193,Energy Lance,"Force Pike
Advanced Melee Weapon
Force pikes are 1-meter-long poles topped with power tips. A two-setting power dial located near the bottom of the pike allows the user to set the weapon to ""lethal"" or ""stun."" Although primarily a vibro weapon, the force pike also delivers an electrical shock through its tip, dealing both piercing and energy damage.

A force pike requires two energy cells to operate.

",AM,M,,2d8,2d8,2,Piercing and energy,,R,,,as Force Pike +1 square reach,IG Lancer Combat Droid
GW,36,Entrenching tool,"Entrenching Tool (GaW)
Simple Weapon
Used by soldiers for thousands of years, the entrenching tool is a durable, multipurpose tool that also can be an effective melee weapon. The entrenching tool can be configured as a short shovel, a pickaxe, or even a makeshift hammer.

The entrenching tool is designed to be durable enough for combat, but it is not as balanced as a regular weapon. The wielder takes a -2 penalty to attack rolls (improvised weapons normally impose a —5 penalty to attack rolls) and can choose to deal either piercing or slashing damage

",S,S,50,1d6,,1,Slashing or piercing,,,,,-2 atk,soldiers
F,96,Felucian skullblade,"Felucian Skullblade (TFUCG)
Exotic Weapon
Used in combat and ceremonies by Force-sensitive shamans on Felucia, skullblades are sword-like melee weapons made from the skulls of local animals. They are similar to crude weapons made by more primitive cultures throughout the galaxy, except for their ability to be imbued with Force energy and (when so imbued) block lightsaber strikes. This is possible because a few creatures on Felucia naturally grow trace amounts of Force-reactive crystal in their bones. Similar to crystals used for the focusing of lightsaber blades, these trace amounts aren't large enough to be harvested for any other use, but do make the skullblades surprisingly effective weapons in the hands of trained Force-sensitive wielders.

Skullblades are considered items of great honor and importance. Although they can occasionally be found on the black market, they are normally available only to those who train with Force adepts on Felucia.

",E,S,1500,2d6,,0.5,Slashing,Rare,,,,Felucians treat Skullblades as simple weapons instead of exotic,Felucian
K,65,Fira,"Fira (KotORCG)
Exotic Weapon
The fira is a traditional weapon used by Selkath warriors belonging to the Order of Shasa. Constructed from the wreckage of a kolto harvester and forged in underwater volcanic vents, fira are tough, curved swords made out of an alloy containing cortosis (thus benefiting from the cortosis weave general template, presented below). If an attack roll with the fira against a living creature equals or exceeds both the target's Reflex Defense and Fortitude Defense, the target takes half damage again on the following round from the grievous wound.

",E,M,100,1d8,,2,Slashing or piercing,Rare,,,,"if an atk exceeds Ref & Fort Def, take half dam following round, Selkath order of Shasa blade",Selkath warriors belonging to the Order of Shasa
W,242,Fira sword,Fira sword,S,S,,1d6,,,Slashing or piercing,,,,,,Shasa
GW,37,Fire blade,"Fire Blade (GaW)
Simple Weapon
The inhabitants of the planet Dathomir coined the term ""fire blade"" for this cutting energized blade, but similar tools can be found on nearly every planet in the galaxy. When activated, a sheath of energy surrounds the blade of this weapon, allowing it to slice through nearly any material. The fire blade cauterizes a wound as it cuts, and it is used to trim the nails of the ferocious kwi, lizard creatures native to Dathomir.

A fire blade ignores the DR of unattended objects, and requires an energy cell to operate.

",S,S,200,2d4,,1,Energy and slashing,,,,,ignores DR of unattended objects,inhabitants of the planet Dathomir
CR,121,Force pike,"Force Pike
Advanced Melee Weapon
Force pikes are 1-meter-long poles topped with power tips. A two-setting power dial located near the bottom of the pike allows the user to set the weapon to ""lethal"" or ""stun."" Although primarily a vibro weapon, the force pike also delivers an electrical shock through its tip, dealing both piercing and energy damage.

A force pike requires two energy cells to operate.

",AM,M,500,2d8,2d8,2,Piercing and energy,Restricted,,,,,"Senate Guards, Imperial Royal Guards, Sith assassins, planetary militias, police forces, security forces"
W,242,Freedon Nadd's Short Lightsaber,"Freedon Nadd's Short Lightsaber (W)
Lightsaber, Heirloom Item
Legendary icon short lightsaber with a rubat crystal (Small lightsaber, 2d8 damage, legendary icon).

",L,S,,2d8,,0.5,Energy and slashing,Rare,,100,,can be thrown; Legendary icon short lightsaber with a rubat crystal,
CR,139,Fusion cutter,,S,T,,2d6,,,Energy,,,,,normally a tool but can be used as makeshift weapon at -5 penalty (see Tool Kit); droid tool mounts avoid penalty,
R,48,Gaderffii,"Gaderffii (RECG)
Simple Melee Weapon
Primarily found in the hands of Tusken Raiders, the gaderffii (also called a gaffi stick) is a pole weapon made from scrap metal. It always features a spike or blade on one end and some kind of bludgeoning instrument on the other. Similar weapons are sometimes carried by the raiders and scavengers of many worlds, especially in places that include old battlegrounds or plenty of discarded junk.

The gaderffii is a double weapon. The wielder can attack with both ends as a full-round action, but both attacks take a -10 penalty (certain feats and talents can reduce these penalties).

",S,L,60,2d4/2d4,,5,Bludgeoning and slashing,,,,,Tusken raider weapon,Tusken Raiders
D2,31,Gamorrean warmace,,S,L,,1d10,,,Bludgeoning,,,,,,
C,59,Garrote,"Garrote (CWCG)
Exotic Weapon
Typically fashioned from a strand of spun durasteel, a garrote is designed to crush the target's throat and prevent breathing. A garrote requires two hands to use, and any attack made with the garrote is treated as a grab attack (see page 152 of the Saga Edition core rulebook). Bonuses granted by talents and feats apply to the grab attack as though it was a garrote attack; for example, a character with the Weapon Focus (garrote) feat gains a +1 bonus on grab attacks made with the garrote.

The effects of a garrote are felt on the target's turn. At the beginning of the grabbed target's turn, before it can take any actions, the target takes damage from the garrote and moves -1 step along the condition track. The target also suffers the normal effects of a grab. The target may attempt to break the grab, as normal.

",E,S,50,1d6*,,0.5,Slashing,,,,,"attack considered grab, effects and damage is dealt on target's turn; -1 CT + 1d6","Rebel alliance, Republic Commandos"
CR,122,Knife,"Knife
Simple Weapon
While many weapons rely on highly advanced technology, knives still see wide use. A knife is completely silent and serves well in close-combat skirmishes.

",S,T,25,1d4,,1,Slashing or piercing,,T,,,can be thrown,
CR,139,Laser welder,,S,T,,1d8,,,Energy,,,,,normally a tool but can be used as makeshift weapon at -5 penalty (see Tool Kit); droid tool mounts avoid penalty,
