BOOK,PAGE,WEAPON,Desc.,Wpn Type,Size,Cost, Damage,Stun,Weight,Dmg Type,Avail.,Thrown / Reach, Extra cost, Build DC,COMMENTS,Used by
R,48,Power Lance,"Energy Lance/Power Lance (RECG)
Advanced Melee Weapon
Essentially, an energy lance is a force pike that has been combined with an electromagnetic pulse generator (the same kind used by an electrostaff) and balanced for use while riding a mount. Energy lances once were commonly carried by honor guards and ceremonial troops such as the Mon Calamari Knights, and many such weapons still in circulation bear signs of their once- proud heritage. Though an energy lance is a Large weapon, it is balanced in such a way that a Medium creature trained in the Ride skill can wield it in one hand when mounted. If an energy lance is wielded by a Medium creature that is not mounted, attacks with the weapon take a -1 penalty.

The electromagnetic pulse can also be channeled along the length of the staff and fired from the tip as a bolt of plasma. When used in this way, the energy lance functions as a blaster carbine with no stun setting. This use of the energy lance requires a power pack, and has the same ammunition capacity as a blaster carbine.

An energy lance requires two energy cells to operate. Its melee attack and its ranged attack both function underwater.

Power lances are energy lances that lack the ability to fire bolts of plasma. These weapons are significantly cheaper and are mass-produced as secondary weapons for scouts on speeder bikes and for cavalry.

",AM,L,2500,2d8,,5,Bludgeoning and energy,Licensed,,,,-1 if medium creature and not mounted; Mon Calamari traditional weapon,"honor guards,  ceremonial troops, Mon Calamari Knights"
CR,139,Power prybar,,S,T,,1d8,,,Bludgeoning,,,,,normally a tool but can be used as makeshift weapon at -5 penalty (see Tool Kit); droid tool mounts avoid penalty,
CR,124,Quarterstaff,"Quarterstaff
Simple Weapon
A quarterstaff is made of wood, plasteel, or a metal alloy. A user can strike with either end of the quarterstaff, taking full advantage of any openings in an opponent's defenses.

A quarterstaff is a double weapon. You can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty; certain feats and talents can reduce these penalties.

",S,L,65,1d6/1d6,,1.8,Bludgeoning,,,,,,
SGD,88,Rapier,,S,S,,1d8,,,Slashing or piercing,,,,,,
T,77,Riot Shield,"Riot Shield (TotG)
Simple Weapon
Riot shields are common gear for law enforcement and planetary defense forces. Measuring about 1 meter long and half as wide, a riot shield is made of a metal frame that generates an energy shield that bends light so that its outer surface is opaque while its inner side is transparent, allowing you unobstructed vision but not extending the same benefit to your opponents. A riot shield has DR 5, 20 hit points, and a break DC of 25.

When held, a riot shield grants you cover (+5 cover bonus to your Reflex Defense) against all ranged attacks on any turn during which you fight defensively. You can also wield a riot shield as a melee weapon. When used in this way, it has the same statistics as a stun baton (SE 123).

",S,,500,1d6,2d6,6,Bludgeoning,,,,,shield is DR5 20hp break DC25; provides cover (+5 cover to Ref) against ranged attack when you fight defensively,law enforcement and planetary defense
F,97,Ryyk blade,"Ryyk Blade (TFUCG)
Exotic Weapon
A ryyk blade is a traditional Wookiee blade used for hunting, clearing paths, and (if necessary) combat. The blade is always a broad, curved design, and the handle is wrapped in leather, but the exact style varies from Wookiee to Wookiee. For a non-Wookiee to use a ryyk without having earned the right is an insult to most Wookiees. In fact, Trandoshan slavers often carry ryyk blades from captured Wookiees just to mock them.

Wookiees who have the Weapon Proficiency (advanced melee weapons) feat are proficient with the ryyk blade. A proficient character carrying a ryyk blade gains a +2 bonus on Survival checks made for basic survival in forest or jungle wilderness.

",E,M,500,2d10,,1.5,Slashing,Rare,,,,"Wookiees treat Ryyk blades as advanced melee weapons, not exotic weapons.",Wookiees
J,53,San-ni staff,"San-Ni Staff (JATM)
Advanced Melee Weapon
The san-ni staff is favored by martial artists throughout the galaxy, including Jedi weapon masters looking for more variety than the lightsaber offers. Consisting of three metal rods held together by power couplings, the san-ni staff is a flexible weapon that can be whipped around the wielder's body in combat, both for leverage and to confuse an opponent. Moreover, a san-ni staff's power couplings are made of pure energy that are impervious to lightsaber damage (much as lightsaber blades are).

The san-ni staff is a double weapon. You can attack with both ends of a san-ni staff as a full-round action, but both attack rolls take a -10 penalty; certain feats and talents can reduce these penalties. Additionally, the san-ni staff can be used in conjunction with the Block talent as though it were a lightsaber. Also, the wielder of a san-ni staff can designate (at the time the attack is made) that he or she is striking the opponent with the power couplings, dealing stun damage instead of normal, lethal damage. A san-ni staff requires two energy cells to operate.

",AM,L,4500,2d6/2d6,2d6/2d6,2.2,Bludgeoning and energy,Rare,,,,can be used with Block as if it was a lightsaber,"martial artists, Jedi weapon masters"
GW,37,Shock stick,"Shock Stick (GaW)
Advanced Melee Weapon
The shock stick is a melee weapon that delivers a stunning blow to the enemy's senses. Using technology similar to that of a stun baton, a shock stick has the added benefit of delivering its stunning energy in a rapid, overwhelming burst that can completely disable less hardy beings.

A shock stick always deals stun damage. When a target susceptible to stun damage is hit by a shock stick, compare the damage (before halving) to the target's current hit point total. If the damage equals or exceeds the target's hit point total, the target moves -5 steps on the condition track and is knocked unconscious. Otherwise, compare the result to the target's damage threshold and resolve the attack as normal.

A shock stick requires an energy cell to operate. Additionally, a shock stick can be mounted on a weapon as a bayonet (see page 121 of the Saga Edition core rulebook). When a shock stick is mounted on a rifle as a bayonet, the wielder takes no penalty to attacks with the shock stick for not having the Weapon Proficiency (advanced melee weapons) feat, if the wielder is proficient in the rifle's use.

",AM,L,450,,3d6,1.4,Energy,Licensed,,,,can be mounted as a bayonet & not necessary to have AM feat,"crowd-control weapon, security forces, slavers, brawlers "
L,62,Shock whip,"Shock Whip (LECG)
Advanced Melee Weapon
A nasty weapon deemed by many to be unnecessarily painful, the shock whip has been used by warriors throughout the galaxy for generations. Fast and cruel, the shock whip is the chosen weapon of the Mistryl Shadow Guards and is also used by the Sith Lord Darth Maleval. A shock whip consists of a metal grip from which extend long, thick wires woven together into a single strand. The metal grip houses a power cell that can send a surge of energy through the shock whip's cord, issuing an electric shock to the target.

A shock whip is a melee weapon with a reach of 2 squares. When you hit with the shock whip, the target takes normal damage from the weapon (as listed on Table 5-1: Melee Weapons). Also on a hit, you can choose to make a grab attack (as a free action) against the target using the whip, provided the target is no more than one size category larger than you. Unlike a normal grab attack, you make a second attack roll at the normal attack bonus with the whip, and you do not take a -5 penalty on the attack roll. If this second attack roll hits, the target is grabbed. As a swift action once per turn, you can automatically deal 2d6 energy damage to a target grabbed by the shock whip (no additional attack roll required).

If you have the Trip feat, you can choose to use the shock whip to knock the target prone instead of making a grab attack.

While grabbing a target with the shock whip, you cannot use the weapon to make attacks against any other targets.

A shock whip requires an energy cell to operate.

",AM,S,1200,1d6,,2.3,Bludgeoning,Restricted,R,,,"reach 2sq, can grab but do not take -5 atk, swif each turn for 2d6 dam",Mistryl Shadow Guards
GW,37,Shockboxing gloves (for Med. chars.),"Shockboxing Gloves (GaW)
Simple Weapon
Shockboxing gloves are powered gauntlets worn during a shockboxing match. Shockboxing gloves protect the wearer's hands and also deal damage to any character hit by them. Shockboxing gloves are similar to stunning gauntlets (see page 202 of the Knights of the Old Republic Campaign Guide). However, unlike stunning gauntlets, shockboxing gloves have various settings, from lethal to a light shock (for sparring) as well as a stun setting.

Shockboxing gloves provide a +1 bonus to damage with a successful unarmed attack. They can be set to stun as a swift action, converting the wearer's unarmed damage to stun damage (and providing the +1 bonus to stun damage).

Shockboxing gloves are two sizes smaller than their wearer (for example, a pair of shockboxing gloves designed for a Human are Tiny). The way shockboxing gloves are worn prevents the wearer from being disarmed or from dropping them.

",S,M,600,1,1,0.5,Bludgeoning and energy,Restricted,,,,set to stun as swif; are 2 sizes smaller than wearer,Shockboxers
GW,37,Shockboxing gloves (for Small chars.),"Shockboxing Gloves (GaW)
Simple Weapon
Shockboxing gloves are powered gauntlets worn during a shockboxing match. Shockboxing gloves protect the wearer's hands and also deal damage to any character hit by them. Shockboxing gloves are similar to stunning gauntlets (see page 202 of the Knights of the Old Republic Campaign Guide). However, unlike stunning gauntlets, shockboxing gloves have various settings, from lethal to a light shock (for sparring) as well as a stun setting.

Shockboxing gloves provide a +1 bonus to damage with a successful unarmed attack. They can be set to stun as a swift action, converting the wearer's unarmed damage to stun damage (and providing the +1 bonus to stun damage).

Shockboxing gloves are two sizes smaller than their wearer (for example, a pair of shockboxing gloves designed for a Human are Tiny). The way shockboxing gloves are worn prevents the wearer from being disarmed or from dropping them.

",S,S,500,1,1,0.4,Bludgeoning and energy,Restricted,,,,set to stun as swif; are 2 sizes smaller than wearer,Shockboxers
K,65,Shockstaff,"Shockstaff (KotORCG)
Advanced Melee Weapon
The Old Republic equivalent of the electrostaff, this weapon is laced with phrik alloy, so lightsabers do not ignore the shockstaffs damage reduction. The shockstaff does stun damage equal to its normal damage, and can be set to stun as a swift action.

A shockstaff is a double weapon. You can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty (although certain feats and talents can reduce these penalties). A shockstaff requires two energy cells to operate.

",AM,L,3500,2d6/2d6,2d6/2d6,3,Bludgeoning and energy,Restricted,,,,set to stun as swif,Old Republic
K,65,Short sword,"Short Sword (KotORCG)
Simple Weapon
A weapon of ancient design, the short sword is a simple weapon used to deflect incoming melee attacks. Short swords are often used by warriors wielding two weapons.

",S,S,40,1d6,,1.5,Slashing or piercing,,,,,,
J,50,"Shoto, guard","Shoto, Guard (JATM)
Lightsaber
A rare variant of the short shoto style of lightsaber, the guard shoto (also referred to as the lightsaber tonfa) has a second handle that sticks out from the main hilt at a 90-degree angle. It is possible to hold a guard shoto by either the main hilt or the second handle. If it is held by the second handle, the lightsaber blade can be held parallel to the forearm, allowing it to easily be used for blocks.

Because a guard shoto is designed primarily to block other lightsabers, it is most useful when its handle is laced with phrik (a lightsaber-resistant metallic compound), which can be an expensive process.

A character proficient with the guard shoto gains a +2 equipment bonus on Use the Force checks to block melee attacks or deflect ranged attacks using the Block or Deflect talent. Additionally, lightsabers do not ignore the DR of a guard shoto with a phrik-laced handle. A guard shoto requires an energy cell to operate.

",L,S,7000,2d4,,1,Energy and slashing,Rare,,,20,"+2 to Block or Deflect, J52 also",dark jedi Maris Brood
F,96,"Shoto, guard","Shoto, Guard (TFUCG)
Lightsaber
A rare variant of the short shoto style of short lightsaber, the guard shoto (also referred to as the lightsaber tonfa) has a second handle that sticks out from the main hilt at a 90-degree angle. It is possible to hold a guard shoto by either the main hilt or the second handle. If it is held by the second handle, the lightsaber blade can be held parallel to the forearm, allowing it to easily be used for blocks. Because a guard shoto is designed primarily to block other lightsabers, it is most useful when its handle is laced with phrik (a lightsaber-resistant metallic compound), an expensive process. A character proficient with the guard shoto gains a +2 equipment bonus on Use the Force checks to block melee attacks or to deflect ranged attacks using the Block talent or the Deflect talent. Additionally, lightsabers do not ignore the DR of a guard shoto.

",L,S,7000,2d4,,1,Energy and slashing,Rare,,,20,"+2 to Block or Deflect, J52 also",dark jedi Maris Brood
K,65,Shyarn,"Shyarn (KotORCG)
Exotic Weapon
The shyarn is a rare weapon of Cerean design. Its blade is magnetically charged, which (in the hands of one trained in its use) can make the blade accelerate toward the weapons and armor of the enemy. A character wielding a shyarn takes no penalty to attack rolls when using the Rapid Strike feat.

",E,T,40,3d4,,1,Slashing or piercing,Rare,,,,no penalty using Rapid Strike; Cerean weapon,Cerean
T,159,Sith Sword,"Sith Sword (TotG)
Simple Weapon
The Sith sword is a weapon created during the days of the Sith Empire using arcane alchemical techniques. A Sith sword is physically identical to most archaic swords, though the alchemical treatment it receives makes it nearly as dangerous as a lightsaber. A lightsaber does not ignore a Sith sword's DR, and characters who are proficient with the Sith sword can treat it as a lightsaber for the purposes of using the Block, Deflect, and Redirect Shot talents (and any talents that have those Jedi talents as a prerequisite) .

Additionally, a Sith sword becomes more powerful in the hands of a character who is steeped in the dark side of the Force. A character proficient in the Sith sword's use can spend a Force Point as a swift action to gain a bonus to damage rolls with the Sith sword equal to his or her Dark Side Score. This bonus to damage applies to the next attack made before the end of the encounter, and activating this ability increases the wielder's Dark Side Score by 1.

",S,M,3000,1d8,,3,Slashing or piercing,"Illegal, Rare",,,,"treat as lightsaber, spend FP as swif = dam = Dark Side score",Sith
K,147,Sith Tremor Sword,"Sith Tremor Sword (KotORCG)
Advanced Melee Weapon
A Sith tremor sword is a deadly throwback to the blades wielded by the ancient Sith Lords of Ziost. Sith tremor swords are dire vibroblades with the cortosis weave template.

",AM,M,72,2d6,,2,Slashing or piercing,Licensed,,,,awarded to bladeborn master blades; comes with Cortosis Weave template,Sith
K,147,Sith War Sword,"Sith War Sword (KotORCG)
Simple Weapon
The prized weapons of ancient Sith Lords, the Sith war sword is an incredibly sharp blade treated with ancient Sith alchemy to produce a deadly weapon. Sith war swords are war swords with the Sith alchemical weapon template.

",S,M,2050,1d8,,2,Slashing or piercing,,,,,comes with Sith Alchemical Weapon template,Sith
C,59,Snap Baton,"Snap Baton (CWCG)
Simple Weapon
The snap baton is a collapsible weapon that expands from its tiny handle to become a 1-meter-long rod. In its collapsed form, it is easily carried in a pocket or utility belt. Expanding or collapsing the weapon takes a swift action. Several models are available, including specially colored versions to appeal to a wide range of customers. Models that incorporate additional functions such as a panic alarm or a built-in glowrod sell for double the price. One model made by Merr-Sonn even includes an outer layer of sound dampening material that muffles the sound made when the baton hits its target. Snap batons are popular in urban areas, especially with thugs.

",S,S,100,2d4,2d4,1,Bludgeoning,,,,,"Merr-Sonn model sound dampener, add glowrod etc for double cost",thugs
CR,139,Sonic welder,,S,T,,1d8,,,Energy,,,,,normally a tool but can be used as makeshift weapon at -5 penalty (see Tool Kit); droid tool mounts avoid penalty,
CR,124,Spear,"Spear
Simple Weapon
A common weapon used by hunters and warriors in primitive cultures, the spear is a long wooden pole with a sharp end fashioned from stone or metal. Members of more advanced cultures enjoy using spears for sport, though these weapons are usually constructed out of a durable metal alloy. Spears can be used as thrown weapons.

",S,M,60,1d8,,1.5,Piercing,,T,,,can be thrown,primitive hunters and warriors
C,186,Spiked flail,,S,M,,1d8,,,Bludgeoning and piercing?,,,,,,Durge
GW,37,Static pike,"Static Pike (GaW)
Advanced Melee Weapon
Static pikes are reach weapons utilized by the Picadors on Geonosis. Primarily employed to herd reticent animals or to goad dangerous ones, the static pike is also an effective weapon. The tip of the weapon is incredibly sharp, but the main purpose of the weapon is to deliver an electric shock, which can be adjusted either to stun a creature or to give a potentially lethal jolt. The handle of the static pike is insulated to protect the wielder from accidental electrocution.

Static pikes can be set to deliver either lethal or stun damage. A static pike is balanced, allowing the wielder to throw it like a spear. A static pike requires an energy cell to operate.

From the table: This is a reach weapon.

",AM,L,300,2d6,2d6,1.8,Energy and piercing,Restricted,"T,R",,,can be thrown like a spear; used by Geonosian arena guards (Picadors); this is a reach weapon,Picadors on Geonosis
CR,124,Stun Baton,"Stun Baton
Simple Weapon
A short club with a power pack in the handle, the stun baton can be activated to produce a stunning charge when it strikes a target (see Stunning, page 162).

A stun baton requires an energy cell to operate.

",S,S,15,1d6,2d6,0.5,Bludgeoning,,,,,,"crowd-control weapon, security forces, slavers, brawlers "
W,289,Stun Bayonet,"Stun Bayonet (W)
Advanced Melee Weapon
When mounted on a rifle, a stun bayonet allows you to use a rifle as a potent melee weapon. Even if you used the rifle to make a ranged attack on your last turn, you still threaten squares within your reach as long as your rifle has a mounted stun bayonet and you can use it to make attacks of opportunity. A stun bayonet requires two hands to use when mounted on a rifle.

A stun bayonet cannot be used when mounted on a rifle with a folded stock. A stun bayonet detached from a rifle functions as a stun baton of the same size (medium); a mounted stun baton deals more damage than a stun baton because of the added leverage and bulk. Because of it's implementation into military and police organizations, characters with the Martial Arts I feat and that are proficient with rifles treat this as a simple weapon when mounted.

A stun bayonet requires an energy cell to operate. (Its power does not drain energy from the rifle's power pack)

",AM,S,500,1d6,2d8,2,Bludgeoning and energy,Restricted,,,,treat as simple weapon if you have Martial Arts I & WP rifles,
K,202,Stunning Gauntlet,"Stunning Gauntlet (KotORCG)
Simple Weapon
An insulated glove with an embedded energy cell, the stunning gauntlet produces an electrifying charge when it strikes a target. A stunning gauntlet changes the wearer's unarmed melee attacks to stun damage, and they provide a + 1 bonus to stun damage on a successful unarmed attack.

Stunning gauntlets are two sizes smaller than their wearer (for example, a pair of stunning gauntlets designed for a Human are Tiny). Because of how they are worn, stunning gauntlets can't be disarmed or dropped.

",S,M,300,,1,0.5,Energy,Restricted,,,,changes unarmed melee attack to stun damage; can't be disarmed or dropped; also in CW60; are 2 sizes smaller than wearer,brawlers
K,202,Stunning Gauntlet,"Stunning Gauntlet (KotORCG)
Simple Weapon
An insulated glove with an embedded energy cell, the stunning gauntlet produces an electrifying charge when it strikes a target. A stunning gauntlet changes the wearer's unarmed melee attacks to stun damage, and they provide a + 1 bonus to stun damage on a successful unarmed attack.

Stunning gauntlets are two sizes smaller than their wearer (for example, a pair of stunning gauntlets designed for a Human are Tiny). Because of how they are worn, stunning gauntlets can't be disarmed or dropped.

",S,S,200,,1,0.4,Energy,Restricted,,,,changes unarmed melee attack to stun damage; can't be disarmed or dropped; also in CW60; are 2 sizes smaller than wearer,brawlers
UR,36,Survival knife,"Survival Knife (UR)
Simple Weapon
A small hand-held weapon with a sturdy blade, the survival knife can be used as both a tool and a weapon, making it popular with explorers and survivalists alike. It is frequently issued to pilots in military units in the event they are shot down and survive their vehicles' destruction. The handle is hollowed out to allow storage of very small items, typically rudimentary survival tools such as a fire rod (see page 40), a short length of binding wire, or an energy cell.

A character who has a survival knife can always determine which way is north thanks to the built-in digital compass.

",S,S,100,1d6,,1.4,Slashing,,T,,,"can be thrown, inaccurate, fire rod, binding wire, or energy cell, compass","explorers, miltary pilots"
L,62,Tehk'la blade,"Tehk'la Blade (LECG)
Exotic Weapon
The tehk'la blade is a handheld weapon in common use throughout Nagai society. Similar in design to vibrodaggers, tehk'la blades are fashioned individually for, and often by, the owner of the weapon. The leading edge of a tehk'la blade is serrated, and vibration inducers cause it to oscillate at several thousand cycles per minute, enhancing its cutting power.

The Nagai fighting style that employs tehk'la blades relies on wounding an enemy, whittling him down until his lack of effectiveness permits a killing blow. The blades are designed to tear and rend as they are withdrawn from stab wounds, making them particularly fearsome in the hands of a trained combatant. If the attack roll made by the wielder of a tehk'la blade equals or exceeds both the target's Reflex Defense and its Fortitude Defense, the target takes an additional 1d6 points of damage from bleeding at the start of its next turn.

A tehk'la blade requires an energy cell to operate.

",E,T,8500,2d6,,0.5,Piercing and slashing,Rare,,,,if attack exceeds Ref & Fort Def target takes 1d6 dam at start of its next turn; Nagai treat as simple,Nagai
W,270,Trident,,S,M,,1d8,,,,Piercing,,,,,Quarren Isolationist
GW,37,"Unarmed, Medium character",,U,M,,1d4,,,Bludgeoning,,,,,also CR 123,
GW,37,"Unarmed, Small character",,U,S,,1d3,,,Bludgeoning,,,,,also CR 123,
CR,124,Vibro-ax,"Vibro-Ax
Advanced Melee Weapon
This powerful vibro weapon features an energy cell that causes the blade to vibrate rapidly when activated. This gives the weapon far greater power than a standard axe, with minimal effort from the wielder.

A vibro-ax requires two energy cells to operate.

",AM,L,500,2d10,,6,Slashing,Restricted,,,,,Gamorrean bodyguards
CR,124,Vibrobayonet,"Vibrobayonet
Advanced Melee Weapon
When mounted on a rifle, a vibrobayonet allows you to use a rifle as a potent melee weapon. Even if you used the rifle to make a ranged attack on your last turn, you still threaten squares within your reach as long as your rifle has a mounted vibrobayonet, and you can use it to make attacks of opportunity. A vibrobayonet requires two hands to use when mounted on a rifle.

A vibrobayonet cannot be used when mounted on a rifle with a folded stock. A vibrobayonet detached from a rifle functions as a vibrodagger; a mounted vibrobayonet deals more damage than the vibrodagger because of the added leverage and bulk.

A vibrobayonet requires an energy cell to operate. (Its power does not drain energy from the rifle's power pack.)

",AM,M,350,2d6,,1,Piercing,Licensed,,,,,"commandos, Mandalorian Supercommandos"
CR,124,Vibroblade,"Vibroblade
Advanced Melee Weapon
The vibroblade is a close-combat weapon favored by soldiers and mercenaries throughout the galaxy. It resembles a short sword with a high-tech look and feel. Vibroblades are illegal in most urban areas.

A vibroblade requires an energy cell to operate.

",AM,S,250,2d6,,1.8,Slashing or piercing,Licensed,,,,,soldiers and mercenaries
K,65,"Vibroblade, dire","Dire Vibroblade (KotORCG)
Advanced Melee Weapon
A larger version of the vibroblade that first came into service during the Great Sith War, the dire vibroblade is merely a vibroblade with a larger hilt, making it easier to wield in two hands (and thus allowing Medium characters to gain double their Strength bonus to damage with the weapon). A dire vibroblade requires an energy cell to operate.

",AM,M,60,2d6,,2,Slashing or piercing,Licensed,,,,"easier to wield with 2 hands, Med creatures double strength bonus",soldiers and mercenaries
F,98,"Vibroblade, double","Vibroblade, Double (TFUCG)
Advanced Melee Weapon
The double vibroblade is essentially two curved vibroblades (designed exclusively for slashing attacks) attached to a central, twisted hilt. Though very difficult to control, when used properly it is a very effective close-combat weapon.

A double vibroblade is a double weapon. You can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty (although certain feats and talents can reduce these penalties). A double vibroblade requires two energy cells to operate.

",AM,L,550,2d6/2d6,,4,Slashing,Licensed,,,,also K 64,duelists
CR,124,Vibrodagger,"Vibrodagger
Advanced Melee Weapon
Assassins and petty thugs favor the smallest of the vibro weapons, the vibrodagger. A number of civilians carry it for defense. It alone among vibro weapons is subject to very little regulation, since it is viewed as a common tool for crafters and explorers.

A vibrodagger requires an energy cell to operate.

",AM,T,200,2d4,,1,Slashing or piercing,,T,,,can be thrown,"Assassins,  petty thugs,  civilians, explorers"
C,60,Vibroknucklers,"Vibroknucklers (CWCG)
Advanced Melee Weapon
Little more than a casing attached to a set of finger rings, vibroknucklers are a tiny weapon favored by thugs and petty thieves, mainly because the weapon can be easily concealed or stored away. The weapon's nasty surprise-a small microblade that extends slightly beyond the knuckles-is an added bonus.

A character wearing vibroknucklers deals +3 points of damage on a successful unarmed attack.

Like combat gloves, vibroknucklers are two sizes smaller than their wearer (for example, vibroknucklers designed for a Human are Tiny). Because of how they are worn, vibroknucklers can't be disarmed or dropped. Additionally, while wearing vibroknucklers, your unarmed attacks are considered to be both a normal unarmed attack (treated as a simple weapon) as well as an attack with an advanced melee weapon.

Vibroknucklers require an energy cell to operate, which is stored within the casing.

",AM,T,200,3,,0.5,Slashing,Restricted,,,,attack considered as unarmed attacks & adv.melee; cannot be disarmed or dropped,thugs and petty thieves
GW,37,Vibrolance,"Vibrolance (GaW)
Advanced Melee Weapon
The vibrolance is a large, spearlike weapon commonly employed by guards and sentries. The weapon deals a massive amount of damage. Gamorreans particularly enjoy brandishing vibrolances, using them to prod slaves or spear prisoners.

The large vibroblade on the end of the weapon can deal either piercing or slashing damage. A vibrolance is too large and unwieldy to be thrown effectively.

A vibrolance requires an energy cell to operate.

",AM,L,500,2d10,,2,Slashing or piercing,Licensed,,,,cannot be thrown; used by Gamorrean slavers,"guards, sentries, Gamorreans"
C,60,Vibrorapier,"Vibrorapier (CWCG)
Advanced Melee Weapon
A vibrorapier is designed to have a longer, thinner blade than the standard vibroblade. It is well-balanced and completely silent due to a specialized design that diminishes the ultrasonic pitch that other vibro weapons normally create. Many professional fighters consider the vibrorapier an excellent weapon and prefer it over a blaster or other melee weapons when stealth is necessary.

A vibrorapier requires two energy cells to operate.

",AM,M,500,2d6,,1.4,Slashing,Restricted,,,,silent,professional fighters
UR,36,Vibro-saw,"Vibro-Saw (UR)
Exotic Weapon
A large and cumbersome variation of the vibro-ax, a vibro-saw is typically used to cut down large vegetation such as trees and exceptionally thick vine clusters. However, its impressive cutting power has led the vibro-saw to be used to cut through bulkheads in boarding actions by military units and pirates alike. The vibro-saw also has the distinct advantage of being legal in areas where the possession of any other type of vibro weapon is a criminal offense.

A vibro-saw ignores a target's Damage Reduction. A vibro-saw requires two energy cells to operate.

",E,L,400,2d10,,10,Slashing,Licensed,,,,ignores DR,military units and pirates
F,98,Vibrosword,"Vibrosword (TFUCG)
Advanced Melee Weapon
The vibrosword is essentially an oversized vibroblade designed to be used in both hands. The weapon resembles many larger swords used by primitive societies, though the signs of technological enhancements can be found in both the handle and the blade.

A vibrosword requires an energy cell to operate.

",AM,L,450,2d8,,3,Slashing or piercing,Licensed,,,,,soldiers and mercenaries
J,54,Wan-shen,"Wan-Shen (JATM)
Simple Weapon
The wan-shen is a tall polearm wielded by the Matukai as their weapon of choice and their external focus for the Force. The weapon consists of a single-edged blade at the end of a long, metal shaft, both of which are made of a hard but lightweight metal. The blade is forged and sculpted with assistance from the Force, making it extraordinarily resilient. Although all wan-shen are constructed the same, each weapon is customized by the individual Matukai who uses it in the form of engraved symbols and artwork on the blade, usually symbolizing something meaningful to the wielder. Wan-shen are designed to break down into smaller parts to allow the weapon to be more easily stored and carried; a disassembled wan-shen breaks down into four Small objects. Assembling or disassembling a wan-shen is a full-round action.

A wan-shen increases the wielder's reach by 1 square. The wan-shen is a double weapon. You can attack with both ends of a wan-shen as a full-round action, but both attack rolls take a -10 penalty; certain feats and talents can reduce these penalties.

",S,L,1000,2d6/2d6,,2,Slashing and bludgeoning,Rare,R,,,"used by Matukai, can be broken down into 4 Small objects as full-round, reach +1 sq",Matukai
K,66,War sword,"War Sword (KotORCG)
Simple Weapon
Also known as the longsword in most cultures, the war sword is a heavy, durable blade made of the finest metals. Before the advent of the lightsaber, war swords were the weapon of choice for both the Sith and the Jedi. Most Sith swords are war swords.

",S,M,50,1d8,,2,Slashing or piercing,,,,,,"Sith, Jedi"
L,66,Yuuzhan Vong Biotech,,,,x4,,,,,"Illegal, Rare",,,,"if deals energy, can convert to bludgeoning, piercing or slashing damage instead",
K,66,Zhaboka,"Zhaboka (KotORCG)
Exotic Weapon
A ceremonial weapon of the Zabrak, the zhaboka is a long wooden pike with a sharpened blade on each end. The blades of a zhaboka are smaller and lighter than those on a double-bladed sword, allowing the wielder to swing the weapon with increased speed, generating more momentum for each attack. A character wielding a zhaboka takes no penalty to attack rolls when using the Rapid Strike feat.

A zhaboka is a double weapon. You can attack with both ends of the weapon as a full-round action, but both attack rolls take a -10 penalty (although certain feats and talents can reduce these penalties).

",E,L,165,2d6/2d6,,2,Slashing,Rare,,,,"no penalty using Rapid Strike, Zabrak weapon",Zabrak
